TITLE,TITLE ABRV,Catalog,Rank,YEAR
A SATELLITE WORKSHOP ON FORMAL APPROACHES TO TESTING OF SOFTWARE,FATES,CORE2008,C,2008
"ACM CONFERENCE ON APPLICATIONS, TECHNOLOGIES, ARCHITECTURES, AND PROTOCOLS FOR COMPUTER COMMUNICATION",SIGCOMM,CORE2008,A*,2008
ACM CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY,CCS,CORE2008,A*,2008
ACM CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK,CSCW,CORE2008,A,2008
ACM CONFERENCE ON ECONOMICS AND COMPUTATION,EC,CORE2008,A,2008
ACM CONFERENCE ON EMBEDDED NETWORKED SENSOR SYSTEMS,SENSYS,CORE2008,A*,2008
ACM CONFERENCE ON EMBEDDED SOFTWARE,EMSOFT,CORE2008,A,2008
ACM CONFERENCE ON HYPERTEXT AND SOCIAL MEDIA,Hypertext,CORE2008,A,2008
ACM CONFERENCE ON OBJECT ORIENTED PROGRAMMING SYSTEMS LANGUAGES AND APPLICATIONS,OOPSLA,CORE2008,A*,2008
ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,CIKM,CORE2008,A,2008
ACM INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,KDD,CORE2008,A*,2008
ACM INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND NETWORKING,MOBICOM,CORE2008,A*,2008
ACM INTERNATIONAL CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL,SIGIR,CORE2008,A*,2008
ACM INTERNATIONAL CONFERENCE ON SUPERCOMPUTING,ICS,CORE2008,A,2008
ACM INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE,ISCA,CORE2008,A*,2008
ACM INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE DISTRIBUTED COMPUTING,HPDC,CORE2008,A,2008
ACM INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE,IWCMC,CORE2008,B,2008
ACM MULTIMEDIA,ACMMM,CORE2008,A*,2008
ACM SIG INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS AND INTERACTIVE TECHNIQUES,SIGGRAPH,CORE2008,A*,2008
MEASUREMENT AND MODELING OF COMPUTER SYSTEMS,SIGMETRICS,CORE2008,A*,2008
ACM SIGGRAPH/EUROGRAPHICS SYMPOSIUM ON COMPUTER ANIMATION,SCA,CORE2008,A,2008
INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL (PREVIOUSLY MIR),ICMR,CORE2008,A,2008
"ACM SIGMOBILE INTERNATIONAL CONFERENCE ON MOBILE SYSTEMS, APPLICATIONS AND SERVICES",Mobisys,CORE2008,A,2008
ACM SIGMOD-SIGACT-SIGART CONFERENCE ON PRINCIPLES OF DATABASE SYSTEMS,PODS,CORE2008,A*,2008
ACM SIGOPS EUROPEAN WORKSHOPS,SIGOPS-EW,CORE2008,B,2008
ACM SIGOPS SYMPOSIUM ON OPERATING SYSTEMS PRINCIPLES,SOSP,CORE2008,A*,2008
"ACM SIGPLAN CONFERENCE ON LANGUAGES, TOOLS, AND COMPILERS FOR EMBEDDED SYSTEMS",LCTES,CORE2008,A,2008
ACM SIGPLAN WORKSHOP ON PARTIAL EVALUATION AND PROGRAM MANIPULATION,PEPM,CORE2008,A,2008
"EUROPEAN SOFTWARE ENGINEERING CONFERENCE AND THE ACM SIGSOFT SYMPOSIUM ON THE FOUNDATIONS OF SOFTWARE ENGINEERING (DUPLICATE WAS LISTED AS ESEC, REMOVED FROM DB)",ESEC/FSE,CORE2008,A,2008
ACM SIGSOFT WORKSHOP ON PROGRAM ANALYSIS FOR SOFTWARE TOOLS AND ENGINEERING,PASTE,CORE2008,B,2008
ACM SPECIAL INTEREST GROUP ON COMPUTER SCIENCE EDUCATION CONFERENCE,SIGCSE,CORE2008,A,2008
ACM SPECIAL INTEREST GROUP ON MANAGEMENT OF DATA CONFERENCE,SIGMOD,CORE2008,A*,2008
ACM SPECIAL INTEREST GROUP ON SUPPORTING GROUP WORK (WAS SIGGROUP),Group,CORE2008,A,2008
ACM SYMPOSIUM ON MOBILE AD HOC NETWORKING AND COMPUTING,MOBIHOC,CORE2008,A,2008
ACM SYMPOSIUM ON APPLIED COMPUTING,SAC,CORE2008,B,2008
INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL GEOMETRY,SoCG,CORE2008,A,2008
ACM SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS,SPDS,CORE2008,C,2008
ACM SYMPOSIUM ON PRINCIPLES OF DISTRIBUTED COMPUTING,PODC,CORE2008,A*,2008
ACM SYMPOSIUM ON THEORY OF COMPUTING,STOC,CORE2008,A*,2008
ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY,UIST,CORE2008,A,2008
ACM WORKSHOP ON HOT TOPICS IN NETWORKS,HOTNETS,CORE2008,A,2008
ACM WORKSHOP ON WEB INFORMATION AND DATA MANAGEMENT,WIDM,CORE2008,C,2008
"ACM/IEEE INTERNATIONAL CONFERENCE ON MODELLING, ANALYSIS AND SIMULATION OF WIRELESS AND MOBILE SYSTEMS",MSWIM,CORE2008,A,2008
"INTERNATIONAL CONFERENCE FOR HIGH PERFORMANCE COMPUTING, NETWORKING, STORAGE AND ANALYSIS (WAS SUPERCOMPUTING CONFERENCE)",SC,CORE2008,A,2008
ACM SIGSIM CONFERENCE ON PRINCIPLES OF ADVANCED DISCRETE SIMULATION (WAS PARALLEL AND DISTRIBUTED SIMULATION),PADS,CORE2008,A,2008
ACM/IFIP/USENIX INTERNATIONAL MIDDLEWARE CONFERENCE,Middleware,CORE2008,A,2008
ACM/SIAM SYMPOSIUM ON DISCRETE ALGORITHMS,SODA,CORE2008,A*,2008
ACM/SPIE MULTIMEDIA COMPUTING AND NETWORKING,MMCN,CORE2008,A,2008
ACM-SIGACT SYMPOSIUM ON PRINCIPLES OF PROGRAMMING LANGUAGES,POPL,CORE2008,A*,2008
ACM-SIGPLAN CONFERENCE ON PROGRAMMING LANGUAGE DESIGN AND IMPLEMENTATION,PLDI,CORE2008,A*,2008
ACM-SIGRAPH INTERACTIVE 3D GRAPHICS AND GAMES,I3DG,CORE2008,A*,2008
ACTIVE AND REAL-TIME DATABASE SYSTEMS,ARTDB,CORE2008,C,2008
ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS,ACIVS,CORE2008,B,2008
ADVANCED RESEARCH IN VLSI,ARVLSI,CORE2008,C,2008
IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE,AVSS,CORE2008,A,2008
ADVANCES IN CRYPTOLOGY,CRYPTO,CORE2008,A*,2008
ADVANCES IN INTELLIGENT SYSTEMS,AIS,CORE2008,C,2008
ADVANCES IN MODAL LOGIC,AiML,CORE2008,A,2008
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS,NIPS,CORE2008,A*,2008
AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP,AOIS,CORE2008,B,2008
AGENT-ORIENTED SOFTWARE ENGINEERING WORKSHOP (MERGED INTO EMAS IN 2013),AOSE,CORE2008,B,2008
ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,AMAST,CORE2008,C,2008
ALGORITHMS AND COMPLEXITY IN DURHAM,ACID,CORE2008,L,2008
ALGORITHMS AND DATA STRUCTURES SYMPOSIUM (WAS WORKSHOP ON ALGORITHMS AND DATA STRUCTURES),WADS,CORE2008,A,2008
AMERICAS CONFERENCE ON INFORMATION SYSTEMS,AMCIS,CORE2008,B,2008
ANNUAL CONFERENCE OF THE AUSTRALASIAN SOCIETY FOR COMPUTERS IN LEARNING IN TERTIARY EDUCATION,ASCILITE,CORE2008,L,2008
ANNUAL CONFERENCE OF THE COGNITIVE SCIENCE SOCIETY,CogSci,CORE2008,A,2008
ANNUAL CONFERENCE OF THE INTERNATIONAL ACADEMY FOR INFORMATION MANAGEMENT,IAIM,CORE2008,C,2008
ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (WAS EUROSPEECH),Interspeech,CORE2008,C,2008
ANNUAL CONFERENCE ON COMPUTATIONAL LEARNING THEORY,COLT,CORE2008,A*,2008
ANNUAL CONFERENCE ON EVOLUTIONARY PROGRAMMING,EP,CORE2008,C,2008
ANNUAL CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION,ITiCSE,CORE2008,A,2008
"ANNUAL CONVENTION FOR SURVEY, MAPPING AND REMOTE SENSING",RS,CORE2008,C,2008
ANNUAL MEETING OF THE DECISION SCIENCES INSTITUTE,DSI,CORE2008,C,2008
ANNUAL PPIG WORKSHOP,PPIG,CORE2008,B,2008
SELECTED AREAS IN CRYPTOGRAPHY,SAC,CORE2008,C,2008
APPLE UNIVERSITY CONSORTIUM ACADEMIC AND DEVELOPERS CONFERENCE,AUCADC,CORE2008,L,2008
APPLICATION OF COMPUTERS AND OPERATIONS RESEARCH IN THE MINERALS INDUSTRIES,APCOMin,CORE2008,C,2008
