TITLE ABRV,YEAR,ISO_ABREV,ISSN,LANGUAGE,CATEGORY,TITLE,QUARTIL,CAT SEARCH
3D PRINT ADDIT MANUF,2016,3D Print. Addit. Manuf.,23297662,ENGLISH,"ENGINEERING, MANUFACTURING",3D PRINTING AND ADDITIVE MANUFACTURING,Q1,"ENGINEERING, MANUFACTURING"
3D PRINT ADDIT MANUF,2017,3D Print. Addit. Manuf.,23297662,ENGLISH,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3D PRINTING AND ADDITIVE MANUFACTURING,Q2,"ENGINEERING, MANUFACTURING"
3D PRINT ADDIT MANUF,2018,3D Print. Addit. Manuf.,23297662,ENGLISH,"ENGINEERING, MANUFACTURING",3D PRINTING AND ADDITIVE MANUFACTURING,Q2,"ENGINEERING, MANUFACTURING"
3D PRINT ADDIT MANUF,2019,3D Print. Addit. Manuf.,23297662,ENGLISH,"ENGINEERING, MANUFACTURING",3D PRINTING AND ADDITIVE MANUFACTURING,Q2,"ENGINEERING, MANUFACTURING"
4OR-Q J OPER RES,2009,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2010,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2011,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q4,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2012,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2013,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2014,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
