"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VHCJT52X","conferencePaper","2014","Quitério, Jorge; Ribeiro, José","Django-CMS overview","Proceedings of the International Conference on Information Systems and Design of Communication","978-1-4503-2713-8","","10.1145/2618168.2618201","http://doi.org/10.1145/2618168.2618201","The use of framework to provide dynamic web pages has been, in recent decades, quite common in the corporate environment so that arise in the ""world of technology"" several open source projects that are intended to facilitate the management, increasingly efficient, of content. This paper describes Django-CMS overview regarding its history, architecture, installation process, functionality and identify certain companies that using it.","2014-05-16","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","180–181","","","","","","","ISDOC '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/M74W7JHV/Quitério and Ribeiro - 2014 - Django-CMS overview.pdf","","","CMS. open source; Django-CMS; framework; pyhton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWDEL6L5","journalArticle","2019","Spellini, Stefano; Lora, Michele; Fummi, Franco; Chattopadhyay, Sudipta","Compositional Design of Multi-Robot Systems Control Software on ROS","ACM Transactions on Embedded Computing Systems","","1539-9087","10.1145/3358197","http://doi.org/10.1145/3358197","This paper presents a methodology that relies on Assume-Guarantee Contracts to decompose the problem of synthesizing control software for a multi-robot system. Initially, each contract describes either a component (e.g., a robot) or an aspect of the system. Then, the design problem is decomposed into different synthesis and verification sub-problems, allowing to tackle the complexity involved in the design process. The design problem is then recomposed by exploiting the rigorousness provided by contracts. This allows us to achieve system-level simulation capable to be used for validating the entire design. Once validated, the software synthesized during the process can be integrated into Robot Operating System (ROS) nodes and executed using state-of-the-practice packages and tools for modern robotic systems. We apply the methodology to generate a control strategy for an autonomous goods transportation system. Our results show a massive reduction of the time required to obtain automatically the control software implementing a multi-robot mission.","2019-10-08","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16 10:25:43","71:1–71:24","","5s","18","","ACM Trans. Embed. Comput. Syst.","","","","","","","","","","","","","October 2019","","","","/Users/Pablo/Zotero/storage/N4Q6VTS2/Spellini et al. - 2019 - Compositional Design of Multi-Robot Systems Contro.pdf","","","Contract-based design; robotic operating system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S575X6E6","conferencePaper","2009","Silva, João Nuno; Veiga, Luís; Ferreira, Paulo","Mercury: a reflective middleware for automatic parallelization of Bags-of-Tasks","Proceedings of the 8th International Workshop on Adaptive and Reflective MIddleware","978-1-60558-850-6","","10.1145/1658185.1658186","http://doi.org/10.1145/1658185.1658186","Today, the development of Bag-of-Tasks, i.e. embarrassingly parallel, applications for execution on multiprocessors or clusters requires the use of APIs not designed for this kind of problem. For instance, MPI allows the parallel execution of tasks, but was developed for much complex parallel applications, with high data communication between tasks. The use of such APIs requires the programmers to learn them, and add complexity to the final parallel solution. Mercury provides a platform for the transformation of serial applications into parallel Bag-of-Tasks. Mercury reads a configuration file stating what methods and classes should be parallelized, loads the application, and in run-time transforms it so that the specified methods are executed concurrently. This transformation is performed without user intervention. Its modular design allows the integration of Mercury with different parallel environments. The initial experiments done show that the overhead is minimal, and that it is possible to take advantage of parallel processing environments (multiprocessors/multicores, clusters, ...) without the use of complex APIs.","2009-12-01","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","1–6","","","","","","Mercury","ARM '09","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/ITUBQSP7/Silva et al. - 2009 - Mercury a reflective middleware for automatic par.pdf","","","adaptive middleware; automatic parallelization; Bag-of-Tasks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJ9QFJW4","conferencePaper","2013","Afanasov, Mikhail; Mottola, Luca; Ghezzi, Carlo","Towards context-oriented programming in wireless sensor networks","Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication","978-1-4503-2215-7","","10.1145/2494091.2494141","http://doi.org/10.1145/2494091.2494141","We present our ongoing work towards applying the context-oriented programming (COP) paradigm to wireless sensor networks (WSNs). Context---as a representation of the environment where the system operates---plays a key role in WSN applications, which must often adapt their operation depending on environmental conditions. We argue that promoting a notion of context as a first-class citizen in WSN programming facilitates the design and implementation of context-dependent functionality. To this end, we conceive a context-oriented programming model expressly tailored to WSNs, coupled with dedicated language constructs. Unlike the existing literature on COP, we embed the latter within low-level C-like languages that do not rely on resource-intensive features such as dynamic memory management. To make our design concrete, we describe a context-oriented extension of nesC---a widely used WSN programming language---and report on a preliminary assessment of our design.","2013-09-08","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","151–154","","","","","","","UbiComp '13 Adjunct","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/HTWCNC5L/Afanasov et al. - 2013 - Towards context-oriented programming in wireless s.pdf","","","context aware computing; sensor networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIUA987R","conferencePaper","2020","Masrom, Suraya; Rahman, Rahayu Abdul; Baharun, Norhayati; Rahman, Abdullah Sani Abd","Automated Machine Learning with Genetic Programming on Real Dataset of Tax Avoidance Classification Problem","Proceedings of the 2020 9th International Conference on Educational and Information Technology","978-1-4503-7508-5","","10.1145/3383923.3383942","http://doi.org/10.1145/3383923.3383942","Dealing with real application datasets often derive a stumbling block for machine learning algorithms to produce good results in solving either prediction or classification problems. Imbalance dataset is the major reason for this problem associated with missing values, small dimension of data size and very skewed data distribution. This paper demonstrates an empirical study that used Automated Machine Learning (AML) based on Genetic Programming (GP) named as AML TPOT. This is a very recent AML developed as an open source Python library and reported as a promising model by a few of researchers who have tested the algorithm. Nevertheless, most of the works on the AML TPOT were conducted on a set of common or benchmark datasets for machine learning testing. In this paper, the focus is on real and deviant dataset, which were collected according to the tax avoidance of the Government-Link Company in Malaysia. Comparison of the AML performances that tested on the dataset with different GP parameters setting is provided. Thus, this paper provides a fundamental knowledge on the experimental design and finding that will be useful for the AML based GP future improvement.","2020-02-11","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","139–143","","","","","","","ICEIT 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/TJDMJFAJ/Masrom et al. - 2020 - Automated Machine Learning with Genetic Programmin.pdf","","","Classification; Genetic Programming; Machine Learning; Tax Avoidance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLLGGTB8","conferencePaper","2012","Llana, Luis; Martin-Martin, Enrique; Pareja-Flores, Cristóbal","FLOP, a free laboratory of programming","Proceedings of the 12th Koli Calling International Conference on Computing Education Research","978-1-4503-1795-5","","10.1145/2401796.2401807","http://doi.org/10.1145/2401796.2401807","The Test Driven Design (TDD) methodology [4, 23, 8] is currently a very common approach for programming and software engineering learning. On-line judges are widely used in everyday teaching, and their use in the scope of programming contests is currently especially well known. There are good tools and collections of programming problems available for exams as well as for contests. We have developed a simple, light, and practical open laboratory. The term open is used here in two senses: It is free for students to use and free to download and distribute under the GPL license. This laboratory hosts programming problems, it allows the instructor to easily add new ones, and it also automatically assesses the solutions sent by the students. In addition to the system, we have developed a collection of programming problems for CS1/2, designed from a pedagogical point of view and covering several levels of difficulty.","2012-11-15","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","93–99","","","","","","","Koli Calling '12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/9MYKQ7N5/Llana et al. - 2012 - FLOP, a free laboratory of programming.pdf","","","automatic grading; online judge; programming learning; programming teaching; web system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CE5R52J","conferencePaper","2014","Azadmanesh, Mohammad Reza; Sherwany, Amanj; Eynard, Davide; Vitasek, Matej; Hauswirth, Matthias","Mobile vs. Desktop Programming Projects: The Effect on Students","Proceedings of the 2nd Workshop on Programming for Mobile & Touch","978-1-4503-2295-9","","10.1145/2688471.2688479","http://doi.org/10.1145/2688471.2688479","Programming projects are a common component of computer science curricula. In this paper we investigate how the decision of using a mobile and touch versus a desktop platform affected students. We ran two sets of programming projects, one developing desktop applications, the other developing mobile apps. Several months after the conclusion of the projects, we interviewed the students about their experiences. We found that our initial expectations regarding an increased student motivation were not completely met. We discuss the specific issues we uncovered, and the lessons we learned.","2014-10-20","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","25–28","","","","","","Mobile vs. Desktop Programming Projects","PROMOTO '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/GVASF3QQ/Azadmanesh et al. - 2014 - Mobile vs. Desktop Programming Projects The Effec.pdf","","","computer science education; programming for mobile; qualitative study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3IXPDTK","conferencePaper","2015","Chakroun, Imen; Vander Aa, Tom; De Fraine, Bruno; Haber, Tom; Wuyts, Roel; Demeuter, Wolfgang","ExaShark: a scalable hybrid array kit for exascale simulation","Proceedings of the Symposium on High Performance Computing","978-1-5108-0101-1","","","","Many problems in high-performance computing, such as stencil applications in iterative solvers or in particle-based simulations, have a need for regular distributed grids. Libraries offering such n-dimensional regular grids need to take advantage of the latest high-performance computing technologies and scale to exascale systems, but also need to be usable by non HPC experts. This paper presents ExaShark: a library for handling n-dimensional distributed data structures that strikes a balance between performance and usability. ExaShark is an open source middleware, offered as a library, targeted at reducing the increasing programming burden on heterogeneous current and future exascale architectures. It offers its users a global-array-like usability while its runtime can be configured to use shared memory threading techniques (Pthreads, OpenMP, TBB), inter-node distribution techniques (MPI, GPI), or combinations of both. ExaShark has been used to develop applications such as a Jacobian 2D heat simulation and advanced pipelined conjugate gradient solvers. These applications are used to demonstrate the performance and usability of ExaShark.","2015-04-12","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","41–48","","","","","","ExaShark","HPC '15","","","","Society for Computer Simulation International","San Diego, CA, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/C8Y7JR8I/Chakroun et al. - 2015 - ExaShark a scalable hybrid array kit for exascale.pdf","","","exascale simulation; middleware library; N-dimensional grids; numerical solvers; partitioned global address space","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VJEIEYQ","conferencePaper","2020","Zakrt, Abdulrahman; Elmahgiubi, Abdulmalik Obaidah; Alhomsi, Beshir; Eraslan, Sukru; Yesilada, Yeliz","Eye-tracking Data Analyser (EDA): Web Application and Evaluation","ACM Symposium on Eye Tracking Research and Applications","978-1-4503-7135-3","","10.1145/3379157.3391301","http://doi.org/10.1145/3379157.3391301","Eye tracking is a growing field of research that is widely used to understand user behaviours and cognitive strategies. Eye-trackers typically collect an enormous amount of data that needs to be analysed, processed and interpreted to draw some conclusions. Collected data is typically examined with either commonly used statistical tools such as SPSS which are not designed specifically for eye-tracking data analysis, or bespoke tools provided by eye-tracker vendors. However, these tools may require extensive experience or they may be extremely expensive. To address these limitations, we propose an open-source web application called EDA (Eye-Tracking Data Analyser) which can be used to analyse eye-tracking data, in particular, to conduct comparative statistical tests between two groups. In this paper, we first present the overall architecture and implementation of this application and then present its evaluation conducted with ten people who are experts in eye-tracking research. The evaluation shows that the EDA application is easy to use, and its workload measure is low in terms of NASA NLX.","2020-06-02","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","1–9","","","","","","Eye-tracking Data Analyser (EDA)","ETRA '20 Adjunct","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/TFHGNV2C/Zakrt et al. - 2020 - Eye-tracking Data Analyser (EDA) Web Application .pdf","","","eye tracking; mann-whitney; statistical comparison; t-test; two user groups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXHX4BLG","conferencePaper","2020","Sadredini, Elaheh; Rahimi, Reza; Lenjani, Marzieh; Stan, Mircea; Skadron, Kevin","FlexAmata: A Universal and Efficient Adaption of Applications to Spatial Automata Processing Accelerators","Proceedings of the Twenty-Fifth International Conference on Architectural Support for Programming Languages and Operating Systems","978-1-4503-7102-5","","10.1145/3373376.3378459","http://doi.org/10.1145/3373376.3378459","Pattern matching, especially for complex patterns with many variations, is an important task in many big-data applications and maps well to finite automata. Recently, a variety of research has focused on hardware acceleration of automata processing, especially via spatial architectures that directly map the patterns to massively parallel hardware elements, such as in FPGAs and in-memory solutions. We observed that all existing automata-acceleration architectures are designed based on fixed, 8-bit symbol processing, derived from ASCII processing. However, the alphabet size in pattern-matching applications varies from just a few up to billions of unique symbols. This makes it difficult to provide a universal and efficient mapping of this wide variety of automata applications to existing automata accelerators. In this paper, we present FlexAmata, a compiler solution for efficient adaption of applications with any alphabet size to existing pattern-matching accelerators. We demonstrate that this can increase automata processing efficiency in two ways. First, this improves resource utilization for applications with small alphabets and enables hardware acceleration for applications with very large alphabets (which otherwise would not map to hardware accelerators). Second, this enables the exploration of optimized bitwidth processing for future spatial hardware accelerators. We leverage FlexAmata and investigate the hardware implications of different bitwidth processing rates on the two state-of-the-art spatial accelerators, Cache Automaton (CA) and FPGAs. Our exploration across a wide range of automata benchmarks reveals that 4-bit processing rate on CA and 16-bit processing rate on FPGAs results in higher performance than the default 8-bit processing rate in these existing approaches.","2020-03-09","2020-08-16 10:25:52","2020-08-16 10:25:52","2020-08-16","219–234","","","","","","FlexAmata","ASPLOS '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/Pablo/Zotero/storage/WMEM8LH2/Sadredini et al. - 2020 - FlexAmata A Universal and Efficient Adaption of A.pdf","","","automata processing; compiler; fpgas; memory-centric accelerators; reconfigurable computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
