"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating COTS Components Using Gap Analysis","J. Sheng; B. Wang","Sch. of Inf. Sci. & Eng., Central South Univ., Changsha; Sch. of Inf. Sci. & Eng., Central South Univ., Changsha","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","1248","1253","In current COTS software components evaluation methods, the resulting scores only represent relative ranking of the alternatives and the differences in their value does not give any indication of their relative superiority. Based on gap analysis theory, a new evaluation approach is proposed in this paper. The functional and non-functional gap between COTS components and system requirements are identified through function point analysis and corresponding adjustment cost is measured by count of function points. Besides adjustment cost, purchase cost is also a part of the total cost for adopting a COTS product. The fitness of a COTS product to requirements is defined as the ratio of the functional size of target system to the total cost of COTS that is also measured in functional size.","","978-0-7695-3398-8","10.1109/ICYCS.2008.472","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4709152","CBSD;COTS evaluation and selection;gap analysis;function point","Cost function;Decision making;Information analysis;Information science;Size measurement;Programming;Software systems;Software engineering;Utility theory","formal specification;formal verification;object-oriented programming;software cost estimation;software metrics;systems analysis","COTS software component evaluation method;functional gap analysis;nonfunctional gap analysis;system requirements identification;adjustment cost measurement;purchase cost","","6","","13","","12 Dec 2008","","","IEEE","IEEE Conferences"
"The role of architecture in the development of software systems","M. Boasson","Hollandse Signaalapparaten BV, Henglo, Netherlands","Proceedings of 20th International Computer Software and Applications Conference: COMPSAC '96","6 Aug 2002","1996","","","350","351","Systems increasingly rely on software as the main technology for implementing the desired behaviour. There is a clear trend of steadily growing sophistication in the behaviour of these systems. The availability of cheap and fast hardware suggests that successive generations of systems should exhibit greatly enhanced behaviour, but this increase in functionality is not observed to an extent that can be related to the progress made in hardware. To the contrary, systems grow in complexity very rapidly (as exemplified by their cost and the required sophistication of the development process), without providing much in terms of added functionality. This complexity, and resulting cost, limits the achievable level of sophistication in systems, unless techniques are found that allow the software complexity to be reduced very significantly. The imbalance between cost and functionality is discussed and arguments are presented suggesting it to be avoidable through a sound software architecture.","0730-3157","0-8186-7579-9","10.1109/CMPSAC.1996.544589","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=544589","","Computer architecture;Software systems;Hardware;Cost function;Explosions;Software architecture;Safety;Availability;Virtual machining;Chaotic communication","software performance evaluation;software cost estimation;software metrics","software architecture;software development process;fast hardware;system functionality;software complexity;software development cost;systems sophistication","","","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Software size measurement with use case point for employee application software at STT-PLN","H. B. Agtriadi; N. Chandra; H. L. H. S. Warnars; F. L. Gaol","Computer Science Department, BINUS Graduate Program - Doctor of Computer Science, Bina Nusantara University Jakarta, Indonesia 11480; Mobile Application & Technology Program, Computer Science Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia 11480; Computer Science Department, BINUS, Graduate Program - Doctor of Computer Science Bina Nusantara University Jakarta, Indonesia 11480; Computer Science Department, BINUS, Graduate Program - Doctor of Computer Science Bina Nusantara University Jakarta, Indonesia 11480","2017 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom)","12 Mar 2018","2017","","","153","157","Employee Application (EA) is a system information for realizing the latest personal data and integrated, provide accurate employee information for planning, development, welfare and control of employees. EA in STT-PLN began to be published since 2013. The software size of the EA STT-PLN will be measured with use case point method. Measurement of the software size of EA STT-PLN will be measured with Use Case Point upon use case diagram for EA STT-PLN as shown in the project has small software size where score Use Case Point (UCP) = 70.34. UCP is another alternative implementation method which can be applied to measure application software size whenever needed to deal with time, money and people.","","978-1-5386-0784-8","10.1109/CYBERNETICSCOM.2017.8311701","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8311701","Use Case Point;Software Measurement;Software Metrics;Software Project","Software;Software measurement;Size measurement;Mathematical model;History;Complexity theory;Environmental factors","employee welfare;personnel;software cost estimation","system information;score use case point;use case point method;accurate employee information;employee application software;software size measurement;application software size;EA STT-PLN;use case diagram","","3","","19","","12 Mar 2018","","","IEEE","IEEE Conferences"
"An empirical study using task assignment patterns to improve the accuracy of software effort estimation","R. K. Smith; J. E. Hale; A. S. Parrish","Math., Comput. & Inf. Sci. Dept., Jacksonville State Univ., AL, USA; NA; NA","IEEE Transactions on Software Engineering","7 Aug 2002","2001","27","3","264","271","In most software development organizations, there is seldom a one-to-one mapping between software developers and development tasks. It is frequently necessary to concurrently assign individuals to multiple tasks and to assign more than one individual to work cooperatively on a single task. A principal goal in making such assignments should be to minimize the effort required to complete each task. But what impact does the manner in which developers are assigned to tasks have on the effort requirements? This paper identifies four task assignment factors: team size, concurrency, intensity, and fragmentation. These four factors are shown to improve the predictive ability of the well-known intermediate COCOMO cost estimation model. A parsimonious effort estimation model is also derived that utilizes a subset of the task assignment factors and unadjusted function points. For the data examined, this parsimonious model is shown to have goodness of fit and quality of estimation superior to that of the COCOMO model, while utilizing fewer cost factors.","1939-3520","","10.1109/32.910861","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=910861","","Costs;Predictive models;Concurrent computing;Computer Society;Finishing;Project management;Productivity;Programming profession;Software engineering;Information science","software cost estimation;software development management;software metrics","task assignment patterns;software effort estimation;software development organizations;team size;COCOMO;cost estimation model;unadjusted function points","","33","","29","","7 Aug 2002","","","IEEE","IEEE Journals"
"Survival analysis for the duration of software projects","P. Sentas; L. Angelis","Dept. of Informatics, Aristotle Univ. of Thesaloniki, Greece; Dept. of Informatics, Aristotle Univ. of Thesaloniki, Greece","11th IEEE International Software Metrics Symposium (METRICS'05)","24 Oct 2005","2005","","","10 pp.","5","In the area of software engineering various methods have been proposed in order to predict the cost of a software project in terms of the effort or of the productivity. An important feature which is closely related to the cost is the duration of a software project. In this paper we deal with the problem of studying and modeling the distribution of the time from specification until delivery of a software product. Specifically, we investigate the use of a statistical methodology known from biostatistics as survival analysis. The purpose of such an analysis is to describe the distribution of the duration and also to identify important factors that affect it. The great advantage of survival analysis is that we can utilize information not only from the completed projects in a dataset but also from ongoing projects. The general principles of the methodology are described with examples from applications to known data sets","1530-1435","0-7695-2371-4","10.1109/METRICS.2005.45","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1509283","","Costs;Statistical analysis;Analysis of variance;Information analysis;Application software;Informatics;Software engineering;Productivity;Project management;Time to market","software cost estimation;software development management;statistical distributions","survival analysis;software projects;software engineering;cost prediction;software product;statistical methodology","","4","","19","","24 Oct 2005","","","IEEE","IEEE Conferences"
"A proposal for the improvement of project's cost predictability using EVM and historical data of cost","A. Diniz de Souza","Universidade Federal do Rio de Janeiro - UFRJ / COPPE, Rio de Janeiro, Brasil","2013 35th International Conference on Software Engineering (ICSE)","26 Sep 2013","2013","","","1447","1449","This paper proposes an extension of the Earned Value Management - EVM technique through the integration of historical cost performance data of processes under statistical control as a means to improve the predictability of the cost of projects. The proposed technique was evaluated through a case-study in industry, which evaluated the implementation of the proposed technique in 22 software development projects Hypotheses tests with 95% significance level were performed, and the proposed technique was more accurate and more precise than the traditional technique for calculating the Cost Performance Index - CPI and Estimates at Completion - EAC.","1558-1225","978-1-4673-3076-3","10.1109/ICSE.2013.6606740","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6606740","Cost Performance Index — CPI;Software Metrics;Earned Value Management — EVM;High Maturity","Stability criteria;Equations;Mathematical model;Accuracy;Software;Performance analysis","project management;software cost estimation;software development management;statistical analysis","project cost predictability;cost historical data;earned value management;EVM technique;historical cost performance data;statistical control;software development projects;hypothesis tests;cost performance index;CPI;estimates at completion;EAC","","1","","14","","26 Sep 2013","","","IEEE","IEEE Conferences"
"Are CMM Program Investments Beneficial? Analyzing Past Studies","D. Galin; M. Avrahami",Ruppin Academic Center; Lipman Electronic Engineering,"IEEE Software","13 Nov 2006","2006","23","6","81","87","CMM experts strongly believe that investments in programs promoting an organization's CMM maturity yield substantial organizational and economic benefits. In particular, they argue that CMM programs that implement software process improvements can provide more benefits","1937-4194","","10.1109/MS.2006.149","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4012629","CMM;software development performance metrics;error density;productivity;rework;cycle time;schedule fidelity;error detection effectiveness;return on investment;ROI","Coordinate measuring machines;Investments;Productivity;Measurement;Costs;Programming;Scheduling;Software performance;Environmental economics;Standards development","Capability Maturity Model;cost-benefit analysis;investment;software cost estimation;software metrics","CMM program investments;economic benefits;software process improvements;software metrics","","39","","19","","13 Nov 2006","","","IEEE","IEEE Magazines"
"The Measurement of Software Size based on Generation Model using COSMIC FSM","T. Zaw; S. Z. Hlaing; M. Myint Lwin; K. Ochimizu","University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar","2019 23rd International Computer Science and Engineering Conference (ICSEC)","30 Jan 2020","2019","","","373","378","The software size measurement plays essential roles in developing a software project to estimate costs, efforts and other resources. It provides the necessary input to estimate the effort at the early stage of the software development process. Thus, COSMIC FSM (Common Software Measurement International Consortium Functional Size Measurement) is one of the well-known methods of FSM which is suitable to estimate the size of software project at the early stage of development process. The industries use not only the standardized methods but also the well-defined modeling notations to measure the functional size of software. Some research has focused on the specific design notations to facilitate the design of the system. Therefore, this paper proposes a new model which is named as a generation model that can be accepted from various types of modeling notations and then these types converted into common general model for calculating the functional size of COSMIC concept. The generation model can help many researchers and estimators to understand the concepts of complex diagram notations easily. Then, the mapping rules define between the COSMIC FSM and generation model to measure the size of software. Finally, the function size results of the system are calculated by using COSMIC method.","","978-1-7281-2544-2","10.1109/ICSEC47112.2019.8974688","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8974688","Meta model;UML sequence diagram;SysML sequence diagram;Petri net;COSMIC Functional Size Measurement (FSM)","","software cost estimation;software development management;software metrics","generation model;COSMIC method;COSMIC FSM;software size measurement;software project;software development process;Common Software Measurement International Consortium Functional Size Measurement","","","","13","","30 Jan 2020","","","IEEE","IEEE Conferences"
"Function Point Analysis to knowledge representation of software size measurement","Y. Ren; T. Xing; Qiang Quan","College of Information Science and Technology, Bohai University, CO 121013 China; Key Laboratory of urban Operation and Management, Beijing Research Center of Urban Systems Engineering, CO 100089 China; Electronic & Information Engineering College, Liaoning Technology University, CO 121001 China","International Conference on Information Science and Technology","10 May 2011","2011","","","122","125","In Function Point Analysis through the technique of case-based reasoning(CBR), use the expert system to measure the software size, is the new method of software measurement, the knowledge representation is the basis of this new method. In this paper, firstly, analyze the role of the function point analysis in the software measurement; then describe the knowledge representation method of Production Rules in detail; finally, propose the data model of the function point analysis for software size measurement, to analyze the Technical complexity factors and their weights of the model, then carry out knowledge representation on function point analysis. The results show that, the knowledge representation used in this paper, can simulate the human thinking process of problem solving, has features as Naturalness, modularity, efficiency, clarity, etc, on the application of Function Point Analysis to measure the size having good reference value.","2164-4357","978-1-4244-9442-2","10.1109/ICIST.2011.5765224","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5765224","","Size measurement;Production;Application software;Software measurement;Knowledge representation;Expert systems","case-based reasoning;data models;expert systems;knowledge representation;software cost estimation;software metrics","function point analysis;knowledge representation;software size measurement;case based reasoning;expert system;production rules;data model;technical complexity factor;human thinking process;problem solving","","2","","10","","10 May 2011","","","IEEE","IEEE Conferences"
"An approach to predict software maintenance cost based on ripple complexity","T. Hirota; M. Tohki; C. M. Overstreet; M. Hashimoto; R. Cherinka","Kyushu Inst. of Technol., Iizuka, Japan; NA; NA; NA; NA","Proceedings of 1st Asia-Pacific Software Engineering Conference","6 Aug 2002","1994","","","439","444","Almost half of a software maintainer's time is spent trying to understand programs. This means that software maintenance cost prediction depends on software understandability. We have proposed ripple complexity as a means to predict program understandability. This paper describes an experiment to prove the usefulness of ripple complexity. The result of this experiment has shown that ripple complexity is more closely related to program understandability than lines of source code, cyclomatic complexity and function point analysis.<>","","0-8186-6960-8","10.1109/APSEC.1994.465236","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=465236","","Software maintenance;Costs;Software systems;Turning;Maintenance engineering;Reverse engineering;Testing;Software engineering;Information analysis;Algorithm design and analysis","software maintenance;software metrics;software cost estimation;reverse engineering","software maintenance cost prediction;ripple complexity;software understandability;program understanding;source code lines;cyclomatic complexity;function point analysis;ripple analysis","","2","","12","","6 Aug 2002","","","IEEE","IEEE Conferences"
"A comparison of development effort estimation techniques for Web hypermedia applications","E. Mendes; I. Watson; C. Triggs; N. Mosley; S. Counsell","Dept. of Comput. Sci., Auckland Univ., New Zealand; Dept. of Comput. Sci., Auckland Univ., New Zealand; NA; NA; NA","Proceedings Eighth IEEE Symposium on Software Metrics","7 Aug 2002","2002","","","131","140","Several studies have compared the prediction accuracy of different types of techniques with emphasis placed on linear and stepwise regressions, and case-based reasoning (CBR). We believe the use of only one type of CBR technique may bias the results, as there are others that can also be used for effort prediction. This paper has two objectives. The first is to compare the prediction accuracy of three CBR techniques to estimate the effort to develop Web hypermedia applications. The second objective is to compare the prediction accuracy of the best CBR technique, according to our findings, against three commonly used prediction models, namely multiple linear regression, stepwise regression and regression trees. One dataset was used in the estimation process and the results showed that different measures of prediction accuracy gave different results. MMRE and MdMRE showed better prediction accuracy for multiple regression models whereas box plots showed better accuracy for CBR.","1530-1435","0-7695-1339-5","10.1109/METRIC.2002.1011332","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1011332","","Application software;Accuracy;Predictive models;Regression tree analysis;Project management;Resource management;Machine learning;Computer science;Educational institutions;Linear regression","hypermedia;software development management;software cost estimation;project management;case-based reasoning","web hypermedia;software projects;project management;effort prediction models;prediction accuracy;case-based reasoning;multiple regression models","","41","","48","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Towards Software Quality Economics for Defect-Detection Techniques","S. Wagner","Institut fur Informatik Technische Universit at Munchen Boltzmannstr. Garching, Germany","29th Annual IEEE/NASA Software Engineering Workshop","27 Dec 2005","2005","","","265","274","There are various ways to evaluate defect-detection techniques. However, for a comprehensive evaluation the only possibility is to reduce all influencing factors to costs. There are already some models and metrics for the cost of quality that can be used in that context. The existing metrics for the effectiveness and efficiency of defect-detection techniques and experiences with them are combined with cost metrics to allow a more fine-grained estimation of costs and a comprehensive evaluation of defect-detection techniques. The current model is most suitable for directly comparing concrete applications of different techniques","1550-6215","0-7695-2306-4","10.1109/SEW.2005.47","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1521215","","Software quality;Testing;Quality assurance;Context modeling;Concrete;Application software;Software systems;Maintenance;Cost function;Failure analysis","software cost estimation;software fault tolerance;software metrics;software quality","software quality economics;software defect-detection technique;software metrics;software cost estimation","","3","","33","","27 Dec 2005","","","IEEE","IEEE Conferences"
"Validation of software effort models","L. F. Johnson; M. L. Smith; A. M. Stevens","Inf. Metrics Inst., New Brunswick Univ., Fredericton, NB, Canada; NA; NA","Engineering Solutions for the Next Millennium. 1999 IEEE Canadian Conference on Electrical and Computer Engineering (Cat. No.99TH8411)","6 Aug 2002","1999","1","","273","276 vol.1","Several static models for software effort were examined on three data sets. Models applied to new data sets need to be evaluated relative to the quality of the data set and this can be benchmarked by fitting a least squares model to the data. This natural model can then be compared to the model that is being evaluated.","0840-7789","0-7803-5579-2","10.1109/CCECE.1999.807208","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=807208","","Least squares methods;Data models;Benchmark testing;Performance evaluation;Personnel;Data engineering;Programming;Life testing;Software testing;Europe","software metrics;software cost estimation;least squares approximations;software development management","software effort models;static models;benchmarking;least squares model","","","","8","","6 Aug 2002","","","IEEE","IEEE Conferences"
