"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AN64EYK7","journalArticle","2020","Anderson, Joshua A.; Glaser, Jens; Glotzer, Sharon C.","HOOMD-blue: A Python package for high-performance molecular dynamics and hard particle Monte Carlo simulations","Computational Materials Science","","0927-0256","10.1016/j.commatsci.2019.109363","http://www.sciencedirect.com/science/article/pii/S0927025619306627","HOOMD-blue is a particle simulation engine designed for nano- and colloidal-scale molecular dynamics and hard particle Monte Carlo simulations. It has been actively developed since March 2007 and available open source since August 2008. HOOMD-blue is a Python package with a high performance C++/CUDA backend that we built from the ground up for GPU acceleration. The Python interface allows users to combine HOOMD-blue with other packages in the Python ecosystem to create simulation and analysis workflows. We employ software engineering practices to develop, test, maintain, and expand the code.","2020-02-15","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:46","109363","","","173","","Computational Materials Science","HOOMD-blue","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/SBXDKM37/S0927025619306627.html; /Users/Pablo/Zotero/storage/37JTIVNX/Anderson et al. - 2020 - HOOMD-blue A Python package for high-performance .pdf","","","CUDA; GPU; Molecular dynamics; Molecular simulation; Monte Carlo; Python","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F64X887B","journalArticle","2020","Lima, Felipe Souza; Alves, Victor Manuel Cunha; Araujo, Antonio Carlos Brandao","Metacontrol: A Python based application for self-optimizing control using metamodels","Computers & Chemical Engineering","","0098-1354","10.1016/j.compchemeng.2020.106979","http://www.sciencedirect.com/science/article/pii/S0098135420303355","In this contribution, a detailed description of a Python based application tool that enables fast implementation of the Self-Optimizing Control (SOC) technology with the help of surrogate models is presented. The paper also outlines the potential uses of the Metacontrol (from Metamodel-based self-optimizing control) software through case studies of representative test-bed industrial processes. As a result, an in-depth analysis of Metacontrol from a plantwide control perspective is discussed, together with recommendations for use. The data, examples, and the Metacontrol source code are available for download at https://github.com/feslima/metacontrol.","2020-09-02","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:46","106979","","","140","","Computers & Chemical Engineering","Metacontrol","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/3T7YKWML/S0098135420303355.html","","","Kriging; Plantwide control; Python; Self-Optimizing control; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMY9CIQQ","journalArticle","2020","Puoliväli, Tuomas; Palva, Satu; Palva, J. Matias","Influence of multiple hypothesis testing on reproducibility in neuroimaging research: A simulation study and Python-based software","Journal of Neuroscience Methods","","0165-0270","10.1016/j.jneumeth.2020.108654","http://www.sciencedirect.com/science/article/pii/S0165027020300765","Background Reproducibility of research findings has been recently questioned in many fields of science, including psychology and neurosciences. One factor influencing reproducibility is the simultaneous testing of multiple hypotheses, which entails false positive findings unless the analyzed p-values are carefully corrected. While this multiple testing problem is well known and studied, it continues to be both a theoretical and practical problem. New method Here we assess reproducibility in simulated experiments in the context of multiple testing. We consider methods that control either the family-wise error rate (FWER) or false discovery rate (FDR), including techniques based on random field theory (RFT), cluster-mass based permutation testing, and adaptive FDR. Several classical methods are also considered. The performance of these methods is investigated under two different models. Results We found that permutation testing is the most powerful method among the considered approaches to multiple testing, and that grouping hypotheses based on prior knowledge can improve power. We also found that emphasizing primary and follow-up studies equally produced most reproducible outcomes. Comparison with existing method(s) We have extended the use of two-group and separate-classes models for analyzing reproducibility and provide a new open-source software “MultiPy” for multiple hypothesis testing. Conclusions Our simulations suggest that performing strict corrections for multiple testing is not sufficient to improve reproducibility of neuroimaging experiments. The methods are freely available as a Python toolkit “MultiPy” and we aim this study to help in improving statistical data analysis practices and to assist in conducting power and reproducibility analyses for new experiments.","2020-05-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","108654","","","337","","Journal of Neuroscience Methods","Influence of multiple hypothesis testing on reproducibility in neuroimaging research","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/TA4ZAU44/S0165027020300765.html","","","False discovery rate; Family-wise error rate; Multiple hypothesis testing; Neurophysiological data; Python; Reproducibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3W7SPGN","journalArticle","2019","Pham, Ly Ly; Watford, Sean; Friedman, Katie Paul; Wignall, Jessica; Shapiro, Andrew J.","Python BMDS: A Python interface library and web application for the canonical EPA dose-response modeling software","Reproductive Toxicology","","0890-6238","10.1016/j.reprotox.2019.07.013","http://www.sciencedirect.com/science/article/pii/S0890623819300875","Several primary sources of publicly available, quantitative dose-response data from traditional toxicology study designs relevant to predictive toxicology applications are now available, including the redeveloped U.S. Environmental Protection Agency’s Toxicity Reference Database (ToxRefDB v2.0), the Health Assessment Workspace Collaborative (HAWC), and the National Toxicology Program’s Chemical Program’s Chemical Effects in Biological Systems (CEBS). These resources provide effect level information but modeling these data to a curve may be more informative for predictive toxicology applications. Benchmark Dose Software (BMDS) has been recognized broadly and used for regulatory applications at multiple agencies. However, the current BMDS software was not amenable to modeling large datasets. Herein we describe development and use of a Python package that implements a wrapper around BMDS, a software that requires manual input in the dose-response modeling process (i.e., best-fitting model-selection, reporting, and dose-dropping). In the Python BMDS, users can select the BMDS version, customize model recommendation logic, and export summaries of the resultant BMDS output. Further, using the Python interface, a web-based application programming interface (API) has been developed for easy integration into other software systems, pipelines, or databases. Software utility was demonstrated via modeling nearly 28,000 datasets in ToxRefDB v2.0, re-creation of an existing, published large-scale analysis, and demonstration of usage in software such as CEBS and HAWC. Python BMDS enables rapid-batch processing of dose-response datasets using a modeling software with broad acceptance in the toxicology community, thereby providing an important tool for leveraging the publicly available quantitative toxicology data in a reproducible manner.","2019-12-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","102-108","","","90","","Reproductive Toxicology","Python BMDS","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/EKHBWH7I/S0890623819300875.html","","","Benchmark dose modeling; Dose-Response; Software; Systematic review; toxicology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNSGD5P8","journalArticle","2020","Valderrama-Gómez, Miguel Á.; Schomer, Rebecca A.; Savageau, Michael A.; Parales, Rebecca E.","TaxisPy: A Python-based software for the quantitative analysis of bacterial chemotaxis","Journal of Microbiological Methods","","0167-7012","10.1016/j.mimet.2020.105918","http://www.sciencedirect.com/science/article/pii/S0167701220300865","Several species of bacteria are able to modify their swimming behavior in response to chemical attractants or repellents. Methods for the quantitative analysis of bacterial chemotaxis such as quantitative capillary assays are tedious and time-consuming. Computer-based video analysis of swimming bacteria represents a valuable method to directly assess their chemotactic response. Even though multiple studies have used this approach to elucidate various aspects of bacterial chemotaxis, to date, no computer software for such analyses is freely available. Here, we introduce TaxisPy, a Python-based software for the quantitative analysis of bacterial chemotaxis. The software comes with an intuitive graphical user interface and can be accessed easily through Docker on any operating system. Using a video of freely swimming cells as input, TaxisPy estimates the culture's average tumbling frequency over time. We demonstrate the utility of the software by assessing the effect of different concentrations of the attractant shikimate on the swimming behavior of Pseudomonas putida F1 and by capturing the adaptation process that Escherichia coli undergoes after being exposed to l-aspartate.","2020-08-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","105918","","","175","","Journal of Microbiological Methods","TaxisPy","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/GRZ9MVCN/S0167701220300865.html; /Users/Pablo/Zotero/storage/9EJFM6NV/Valderrama-Gómez et al. - 2020 - TaxisPy A Python-based software for the quantitat.pdf","","","Cell tracking software; Quantitative chemotaxis; Video analysis software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFBHNG9E","journalArticle","2018","Chen, Zhifei; Chen, Lin; Ma, Wanwangying; Zhou, Xiaoyu; Zhou, Yuming; Xu, Baowen","Understanding metric-based detectable smells in Python software: A comparative study","Information and Software Technology","","0950-5849","10.1016/j.infsof.2017.09.011","http://www.sciencedirect.com/science/article/pii/S0950584916301690","Context Code smells are supposed to cause potential comprehension and maintenance problems in software development. Although code smells are studied in many languages, e.g. Java and C#, there is a lack of technique or tool support addressing code smells in Python. Objective Due to the great differences between Python and static languages, the goal of this study is to define and detect code smells in Python programs and to explore the effects of Python smells on software maintainability. Method In this paper, we introduced ten code smells and established a metric-based detection method with three different filtering strategies to specify metric thresholds (Experience-Based Strategy, Statistics-Based Strategy, and Tuning Machine Strategy). Then, we performed a comparative study to investigate how three detection strategies perform in detecting Python smells and how these smells affect software maintainability with different detection strategies. This study utilized a corpus of 106 Python projects with most stars on GitHub. Results The results showed that: (1) the metric-based detection approach performs well in detecting Python smells and Tuning Machine Strategy achieves the best accuracy; (2) the three detection strategies discover some different smell occurrences, and Long Parameter List and Long Method are more prevalent than other smells; (3) several kinds of code smells are more significantly related to changes or faults in Python modules. Conclusion These findings reveal the key features of Python smells and also provide a guideline for the choice of detection strategy in detecting and analyzing Python smells.","2018-02-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","14-29","","","94","","Information and Software Technology","Understanding metric-based detectable smells in Python software","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/SN7H3ACJ/S0950584916301690.html","","","Code smell; Detection strategy; Python; Software maintainability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNTMF66D","journalArticle","2019","Maghsoudi, Omid Haji; Vahedipour, Annie; Hallowell, Thomas; Spence, Andrew","Open-source Python software for analysis of 3D kinematics from quadrupedal animals","Biomedical Signal Processing and Control","","1746-8094","10.1016/j.bspc.2019.02.024","http://www.sciencedirect.com/science/article/pii/S1746809419300692","Locomotion is key to survival, yet it can be disturbed by injuries, diseases, and aging. Therefore, it is important for researchers in biology, neuroscience, biomechanics, and further afield. Locomotion is frequently quantified using kinematic data, and quadrupeds including rodents are medical model animals used worldwide. Kinematics typically result from the tracking of some landmarks, often joint centers. Although commercially available systems and software exist for the analysis of these kinematic data, they are expensive, often restricted to use with a given apparatus, and may be inextensible. Therefore, there is a need for an open source tool to analyze kinematic data. We present a Python software to address this need. It uses 2D coordinates from four cameras and DLT coefficients from the calibrated volume to generates 3D coordinates [1]. A method is presented to modify the knee and elbow joint positions in 3D. Then, kinematic features are extracted, and they are sorted in a time series format to plot a summary of a study. In addition, we generate videos from the tracked points, 3D reconstruction of the points, showing joint angles for eight joints, the location of animal on the belt, and the animal's speed on the belt. The software has been evaluated by eight trials to show the importance of the work. The 3D reconstruction error, having an average of 7.36 pixels, was calculated for the markers. The presented program can be used in different fields. It will encourage the researchers to design the studies based on their needs because they can change the setup in any required conditions while they can extract the kinematic data.","2019-05-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","364-373","","","51","","Biomedical Signal Processing and Control","","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/NYG6ULCW/S1746809419300692.html","","","3D Reconstruction; Biology; Biomechanics; Kinematics; Neuroscience; Python","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4GP4TGB","journalArticle","2017","Jin, Yuping","Development of Word Cloud Generator Software Based on Python","Procedia Engineering","","1877-7058","10.1016/j.proeng.2017.01.223","http://www.sciencedirect.com/science/article/pii/S1877705817302230","A word cloud is a kind of weighted list to visualize language or text data, which gains increasing attention and more application opportunities as the big data time approaches. Currently, there has been some online word cloud generators available for users with simple requests, such as repeating the exact phrase, or collecting the text data from a web page. Moreover, most current word cloud generators cannot support characters other than English, which are limited in English-speaking users. There are also packages for programming languages (such as Python and R) to generate word clouds, which requires coding and is not user-friendly. This paper is focusing on developing a graphical user interface (GUI) software to generate word cloud maps with easy operations. The Python programming language is involved and some details are discussed. Finally the software is released for further application.","2017-01-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","788-792","","","174","","Procedia Engineering","","13th Global Congress on Manufacturing and Management Zhengzhou, China 28-30 November, 2016","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/V2ETDEW2/S1877705817302230.html","","","GUI software; Python; Word cloud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TT573GAE","journalArticle","2020","Beroiz, M.; Cabral, J. B.; Sanchez, B.","Astroalign: A Python module for astronomical image registration","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2020.100384","http://www.sciencedirect.com/science/article/pii/S221313372030038X","We present an algorithm implemented in the Astroalign Python module for image registration in astronomy. Our module does not rely on WCS information and instead matches three-point asterisms (triangles) on the images to find the most accurate linear transformation between them. It is especially useful in the context of aligning images prior to stacking or performing difference image analysis. Astroalign can match images of different point-spread functions, seeing, and atmospheric conditions.","2020-07-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","100384","","","32","","Astronomy and Computing","Astroalign","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/F9RWZJRB/S221313372030038X.html; /Users/Pablo/Zotero/storage/I9IZHYZX/Beroiz et al. - 2020 - Astroalign A Python module for astronomical image.pdf","","","Astronomy; Image registration; Python package","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSCCBEZY","journalArticle","2020","Meunier, David; Pascarella, Annalisa; Altukhov, Dmitrii; Jas, Mainak; Combrisson, Etienne; Lajnef, Tarek; Bertrand-Dubois, Daphné; Hadid, Vanessa; Alamian, Golnoush; Alves, Jordan; Barlaam, Fanny; Saive, Anne-Lise; Dehgan, Arthur; Jerbi, Karim","NeuroPycon: An open-source python toolbox for fast multi-modal and reproducible brain connectivity pipelines","NeuroImage","","1053-8119","10.1016/j.neuroimage.2020.117020","http://www.sciencedirect.com/science/article/pii/S1053811920305061","Recent years have witnessed a massive push towards reproducible research in neuroscience. Unfortunately, this endeavor is often challenged by the large diversity of tools used, project-specific custom code and the difficulty to track all user-defined parameters. NeuroPycon is an open-source multi-modal brain data analysis toolkit which provides Python-based template pipelines for advanced multi-processing of MEG, EEG, functional and anatomical MRI data, with a focus on connectivity and graph theoretical analyses. Importantly, it provides shareable parameter files to facilitate replication of all analysis steps. NeuroPycon is based on the NiPype framework which facilitates data analyses by wrapping many commonly-used neuroimaging software tools into a common Python environment. In other words, rather than being a brain imaging software with is own implementation of standard algorithms for brain signal processing, NeuroPycon seamlessly integrates existing packages (coded in python, Matlab or other languages) into a unified python framework. Importantly, thanks to the multi-threaded processing and computational efficiency afforded by NiPype, NeuroPycon provides an easy option for fast parallel processing, which critical when handling large sets of multi-dimensional brain data. Moreover, its flexible design allows users to easily configure analysis pipelines by connecting distinct nodes to each other. Each node can be a Python-wrapped module, a user-defined function or a well-established tool (e.g. MNE-Python for MEG analysis, Radatools for graph theoretical metrics, etc.). Last but not least, the ability to use NeuroPycon parameter files to fully describe any pipeline is an important feature for reproducibility, as they can be shared and used for easy replication by others. The current implementation of NeuroPycon contains two complementary packages: The first, called ephypype, includes pipelines for electrophysiology analysis and a command-line interface for on the fly pipeline creation. Current implementations allow for MEG/EEG data import, pre-processing and cleaning by automatic removal of ocular and cardiac artefacts, in addition to sensor or source-level connectivity analyses. The second package, called graphpype, is designed to investigate functional connectivity via a wide range of graph-theoretical metrics, including modular partitions. The present article describes the philosophy, architecture, and functionalities of the toolkit and provides illustrative examples through interactive notebooks. NeuroPycon is available for download via github (https://github.com/neuropycon) and the two principal packages are documented online (https://neuropycon.github.io/ephypype/index.html, and https://neuropycon.github.io/graphpype/index.html). Future developments include fusion of multi-modal data (eg. MEG and fMRI or intracranial EEG and fMRI). We hope that the release of NeuroPycon will attract many users and new contributors, and facilitate the efforts of our community towards open source tool sharing and development, as well as scientific reproducibility.","2020-10-01","2020-08-18 16:37:49","2020-08-18 16:37:49","2020-08-18 16:37:47","117020","","","219","","NeuroImage","NeuroPycon","","","","","","","en","","","","","ScienceDirect","","","","/Users/Pablo/Zotero/storage/LE72FCIJ/S1053811920305061.html; /Users/Pablo/Zotero/storage/TYC6ANGS/Meunier et al. - 2020 - NeuroPycon An open-source python toolbox for fast.pdf","","","Brain imaging; Brain networks; Electroencephalography (EEG); Electrophysiology; Functional connectivity; Graph theory; Magnetoencephalography (MEG); MNE; MRI; Multi-modality; Nipype; Pipelines; Python; Reproducible science; Source reconstruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
