DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Affiliations,Publisher,Language,ISSN,ISBN
Compendex,High-performance parallel computations using python as high-level language,"High-performance and parallel computations have always represented a challenge in terms of code optimization and memory usage, and have typically been tackled with languages that allow a low-level management of resources, like Fortran, C and C++. Nowadays, most of the implementation effort goes into constructing the bookkeeping logic that binds together functionalities taken from standard libraries. Because of the increasing complexity of this kind of codes, it becomes more and more necessary to keep it well organized through proper software engineering practices. Indeed, in the presence of chaotic implementations, reasoning about correctness is difficult, even when limited to specific aspects like concurrency; moreover, due to the lack in flexibility of the code, making substantial changes for experimentation becomes a grand challenge. Since the bookkeeping logic only accounts for a tiny fraction of the total execution time, we believe that for such a task it can be afforded to introduce an overhead due to a high-level language. We consider Python as a preliminary candidate with the intent of improving code readability, flexibility and, in turn, the level of confidence with respect to correctness. In this study, the bookkeeping logic of SMP-MRRR, a C & Fortran highly optimized multi-core eigensolver, is ported to Python. We report here on the porting process and on the pros and cons of using a high-level language in a high-performance parallel library. © 2011 Springer-Verlag Berlin Heidelberg.",Code development - Code optimization - Code readability - High performance computation - Parallel Computation - Python - Software engineering practices - Standard libraries,"Masini, Stefano(1); Bientinesi, Paolo(1)",2011.0,Conference,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-642-21878-1_66,"(1) RWTH Aachen, AICES, Aachen, Germany",Springer Verlag,English,03029743,
Compendex,Experience report: Haskell as a reagent - Results and observations on the use of Haskell in a python project,"In system administration, the languages of choice for solving automation tasks are scripting languages, owing to their flexibility, extensive library support and quick development cycle. Functional programming is more likely to be found in software development teams and the academic world. This separation means that system administrators cannot use the most effective tool for a given problem; in an ideal world, we should be able to mix and match different languages, based on the problem at hand. This experience report details our initial introduction and use of Haskell in a mature, medium size project implemented in Python. We also analyse the interaction between the two languages, and show how Haskell has excelled at solving a particular type of real-world problems. © 2010 ACM.",ganeti - Haskell - python - Real-world problem - Scripting languages - Software development teams - System administration - System administrators,"Pop, Iustin(1)",2010.0,Conference,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",10.1145/1863543.1863595,"(1) Google Switzerland, Zürich, Switzerland",Association for Computing Machinery,English,,
Compendex,Experience report: Haskell as a reagent: Results and observations on the use of Haskell in a Python project,"In system administration, the languages of choice for solving automation tasks are scripting languages, owing to their flexibility, extensive library support and quick development cycle. Functional programming is more likely to be found in software development teams and the academic world. This separation means that system administrators cannot use the most effective tool for a given problem; in an ideal world, we should be able to mix and match different languages, based on the problem at hand. This experience report details our initial introduction and use of Haskell in a mature, medium size project implemented in Python. We also analyse the interaction between the two languages, and show how Haskell has excelled at solving a particular type of realworld problems. Copyright © 2010 ACM.",Ganeti - Haskell - Python - Real-world problem - Scripting languages - Software development teams - System administration - System administrators,"Pop, Iustin(1)",2010.0,Conference,ACM SIGPLAN Notices,10.1145/1932681.1863595,"(1) Google, Switzerland",Association for Computing Machinery,English,15232867,
Compendex,A dynamic and service-oriented component model for python long-lived applications,"Dynamic runtime adaptations are a key feature for long-running applications. One of the most used languages for writing this kind of applications is Java, due to its reflection features, popularity and dynamism. However, as dynamic scripting languages (such as Python and Javascript) increase in popularity, it is desirable to be able to conceive long-running applications with them too. This paper introduces iPOPO and Pelix, a Python-based service-oriented component model and dynamic service platform respectively, which are inspired on two popular Java technologies for the development of long-running applications: the iPOJO component model and the OSGi Service Platform. To illustrate the approach, a usage of iPOPO and Pelix is presented on the context of mediation software. Copyright © 2012 ACM.",Component model - Dynamism - Java technologies - Long-running applications - Python - Runtime adaptation - Scripting languages - Service oriented components,"Calmant, Thomas(1,2); Americo, Joao Claudio(1); Gattaz, Olivier(2); Donsez, Didier(1); Gama, Kiev(3)",2012.0,Conference,CBSE'12 - Proceedings of the 15th ACM SIGSOFT Symposium on Component Based Software Engineering,10.1145/2304736.2304744,"(1) Université de Grenoble, INRIA/LIG SARDES Team, Grenoble, France; (2) IsandlaTech, Grenoble, France; (3) Recife Center for Advanced Studies and Systems (CESAR), Recife, Brazil",Association for Computing Machinery,English,,
Compendex,GNU library in python language applied to education in information security,"This work develops an open source library in Python with applications in academic settings, for educational purposes. It can also be used for general software development. It allows users to implement Number Theory applications commonly employed in Cryptography and Information System Security. Improvements in teaching quality, user software readability, and time savings at the encoding stage could be expected.",Information system security - Open-source libraries - Python - PYTHON language - Teaching quality - Theory applications,"Benaben, Alejandro(1); Lechtaler, Antonio Castro(1); Cipriano, Marcelo(2,3); Liporace, Julio(2); Arzubi, Alejandro Arroyo(2)",2010.0,Conference,"ICSIT 2010 - International Conference on Society and Information Technologies, Proceedings",,"(1) Universidad Tecnológica Nacional, Buenos Aires; C1179AAQ, Argentina; (2) Escuela Superior Técnica, IESE, Argentina; (3) Instituto Fátima, Argentina","International Institute of Informatics and Systemics, IIIS",English,,
Compendex,The python computer vision framework,"PyCVF is an open source framework for computer vision and video-mining. It allows rapid development of applications and it provides standardized tools for common operations such as : browsing datasets, applying transformations to one dataset on-the-fly, computing features, indexing multimedia datasets, querying for nearest-neighbors, training a statistical model, or browsing the result in a 3d-space. PyCVF has a Python API, it also provides command line programs, QT Gui, and a web front-end. It can interacts nicely with other leading frameworks such as Weka, Orange, OpenCV, Django... © 2010 ACM.",Command line programs - Common operations - Nearest neighbors - Open source frameworks - python - Software frameworks - Statistical modeling - videomining,"Nouvel, Bertrand(1); Satoh, Shinlchi(2)",2010.0,Conference,MM'10 - Proceedings of the ACM Multimedia 2010 International Conference,10.1145/1873951.1874253,"(1) Japanese-French Laboratory for Informatics, LIA CNRS, NII, 2-1-2 Hitotsubashi, Chiyoda-ku, 101-8430 Tokyo, Japan; (2) National Institute of Informatics, NII, 2-1-2 Hitotsubashi, Chiyoda-ku, 101-8430 Tokyo, Japan",Association for Computing Machinery,English,,
Compendex,Enhancing PowerFactory Dynamic Models with Python for Rapid Prototyping,"DIgSILENT PowerFactory is among the most widely adopted power system analysis tools in research and industry. It provides a comprehensive library of device models and it allows users to define their own. Models for dynamic simulation can be defined in the DIgSILENT Simulation Language (DSL). When the functionality of DSL is insufficient, new DSL functions can be defined in C or C++. However, C and C++ can be challenging for inexperienced programmers. Furthermore, every time the C or C++ code is modified, it needs to be recompiled and PowerFactory needs to be restarted for the changes to take effect, which slows down the workflow, model development, and inhibits rapid prototyping. In this paper we present an open source library that allows users to call Python functions and methods from DSL with minimal effort. Python is a powerful and much easier to use language than C or C++. Additionally, Python programs do not need to be compiled. Furthermore, with this library PowerFactory does not need to be restarted every time the Python code is changed. To illustrate what can be accomplished with our library we present three example use cases related to load modeling, co-simulation, and fault detection based on machine learning. The examples show that it becomes straightforward to enhance DSL with Python and that sophisticated models can be produced with reduced effort using popular open source Python libraries. As a consequence, PowerFactory users gain access to enhanced modeling capabilities and user-friendliness, and a more speedy workflow, which is beneficial for rapid prototyping. © 2019 IEEE.",Cosimulation - Load modeling - Model development - Open-source libraries - Power system analysis tools - PowerFactory - Python - User friendliness,"Lopez, Claudio David(1); Cvetkovic, Milos(1); Palensky, Peter(1)",2019.0,Conference,IEEE International Symposium on Industrial Electronics,10.1109/ISIE.2019.8781432,"(1) Department of Electrical Sustainable Energy, Delft University of Technology, Netherlands",Institute of Electrical and Electronics Engineers Inc.,English,,
Compendex,A tutorial on machine learning and data science tools with python,"In this tutorial, we will provide an introduction to the main Python software tools used for applying machine learning techniques to medical data. The focus will be on open-source software that is freely available and is cross platform. To aid the learning experience, a companion GitHub repository is available so that you can follow the examples contained in this paper interactively using Jupyter notebooks. The notebooks will be more exhaustive than what is contained in this chapter, and will focus on medical datasets and healthcare problems. Briefly, this tutorial will first introduce Python as a language, and then describe some of the lower level, general matrix and data structure packages that are popular in the machine learning and data science communities, such as NumPy and Pandas. From there, we will move to dedicated machine learning software, such as SciKit-Learn. Finally we will introduce the Keras deep learning and neural networks library. The emphasis of this paper is readability, with as little jargon used as possible. No previous experience with machine learning is assumed. We will use openly available medical datasets throughout. © Springer International Publishing AG 2016.",Cross-platform - Healthcare problems - Learning experiences - Machine learning software - Machine learning techniques - Medical data sets - Python - Science community,"Bloice, Marcus D.(1); Holzinger, Andreas(1)",2016.0,Book Chapter,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-319-50478-0_22,"(1) Holzinger Group HCI-KDD, Institute for Medical Informatics, Statistics and Documentation, Medical University of Graz, Graz, Austria",Springer Verlag,English,03029743,
Compendex,Exploring decision-making processes in python,"The process by which norms are developed to become policies, the normative decision-making process, is not often explicit to stakeholders of Open Source Software (OSS) projects. Understanding the normative decision-making process is crucial for members if such projects are to evolve and succeed. In this paper, we investigated aspects of the normative decision-making processes of OSS development through the use of Python Enhancement Proposals (PEPs). We compared extracted process models with those that are advertised by the Python community to evaluate the extent to which those processes overlap. In addition, we assess members' involvement and contribution to these processes. Our work used structural and behavioral analysis techniques, and social network analysis metrics. We found that there were differences between the extracted processes and Python's advertised process, with the extracted processes being significantly more complex. These differences also extended to granular models used for managing social and technical aspects of the Python project. Furthermore, some key members were largely responsible for PEPs' success. Our extracted models could go a far way in helping the Python community to quickly understand decision-making processes in Python. © 2016 ACM.",Decision making process - Developers' involvement - Governance - Norms - Python enhancement proposals,"Keertipati, Smitha(1); Licorish, Sherlock A.(1); Savarimuthu, Bastin Tony Roy(1)",2016.0,Conference,ACM International Conference Proceeding Series,10.1145/2915970.2915993,"(1) Department of Information Science, University of Otago, PO Box 56, Dunedin; 9016, New Zealand",Association for Computing Machinery,English,,
Compendex,"Data structure based performance evaluation of emerging technologies - A comparison of Scala, Ruby, Groovy, and Python","Considering the accelerating rate at which software application development is progressing, emerging technologies like Scala, Ruby, and Groovy almost run in a neck to neck competition. This paper presents our study of these languages which are most commonly used in telecommunication/ middleware video streaming applications as compared to the long standing Python technology. © 2012 IEEE.",Emerging technologies - Groovy - Performance - Python - Scala - Software applications - Structure-based - Video Streaming Applications,"Bhat, Miti S.(1); Nair, Deepthi G.(1); Bansal, Devyani(1); Vaishnavi, J.(1)",2012.0,Conference,"2012 CSI 6th International Conference on Software Engineering, CONSEG 2012",10.1109/CONSEG.2012.6349515,"(1) Infosys Limited, Bangalore, India",IEEE Computer Society,English,,
