DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Link,Affiliations,Publisher,Language,ISSN,ISBN
IEEE,Evaluating COTS Components Using Gap Analysis,"In current COTS software components evaluation methods, the resulting scores only represent relative ranking of the alternatives and the differences in their value does not give any indication of their relative superiority. Based on gap analysis theory, a new evaluation approach is proposed in this paper. The functional and non-functional gap between COTS components and system requirements are identified through function point analysis and corresponding adjustment cost is measured by count of function points. Besides adjustment cost, purchase cost is also a part of the total cost for adopting a COTS product. The fitness of a COTS product to requirements is defined as the ratio of the functional size of target system to the total cost of COTS that is also measured in functional size.",CBSD;COTS evaluation and selection;gap analysis;function point,J. Sheng; B. Wang,2008,Conference,2008 The 9th International Conference for Young Computer Scientists,10.1109/ICYCS.2008.472,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4709152,"Sch. of Inf. Sci. & Eng., Central South Univ., Changsha; Sch. of Inf. Sci. & Eng., Central South Univ., Changsha",IEEE,English,,978-0-7695-3398-8
IEEE,The role of architecture in the development of software systems,"Systems increasingly rely on software as the main technology for implementing the desired behaviour. There is a clear trend of steadily growing sophistication in the behaviour of these systems. The availability of cheap and fast hardware suggests that successive generations of systems should exhibit greatly enhanced behaviour, but this increase in functionality is not observed to an extent that can be related to the progress made in hardware. To the contrary, systems grow in complexity very rapidly (as exemplified by their cost and the required sophistication of the development process), without providing much in terms of added functionality. This complexity, and resulting cost, limits the achievable level of sophistication in systems, unless techniques are found that allow the software complexity to be reduced very significantly. The imbalance between cost and functionality is discussed and arguments are presented suggesting it to be avoidable through a sound software architecture.",,M. Boasson,1996,Conference,Proceedings of 20th International Computer Software and Applications Conference: COMPSAC '96,10.1109/CMPSAC.1996.544589,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=544589,"Hollandse Signaalapparaten BV, Henglo, Netherlands",IEEE,English,0730-3157,0-8186-7579-9
IEEE,Software size measurement with use case point for employee application software at STT-PLN,"Employee Application (EA) is a system information for realizing the latest personal data and integrated, provide accurate employee information for planning, development, welfare and control of employees. EA in STT-PLN began to be published since 2013. The software size of the EA STT-PLN will be measured with use case point method. Measurement of the software size of EA STT-PLN will be measured with Use Case Point upon use case diagram for EA STT-PLN as shown in the project has small software size where score Use Case Point (UCP) = 70.34. UCP is another alternative implementation method which can be applied to measure application software size whenever needed to deal with time, money and people.",Use Case Point;Software Measurement;Software Metrics;Software Project,H. B. Agtriadi; N. Chandra; H. L. H. S. Warnars; F. L. Gaol,2017,Conference,2017 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom),10.1109/CYBERNETICSCOM.2017.8311701,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8311701,"Computer Science Department, BINUS Graduate Program - Doctor of Computer Science, Bina Nusantara University Jakarta, Indonesia 11480; Mobile Application & Technology Program, Computer Science Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia 11480; Computer Science Department, BINUS, Graduate Program - Doctor of Computer Science Bina Nusantara University Jakarta, Indonesia 11480; Computer Science Department, BINUS, Graduate Program - Doctor of Computer Science Bina Nusantara University Jakarta, Indonesia 11480",IEEE,English,,978-1-5386-0784-8
IEEE,An empirical study using task assignment patterns to improve the accuracy of software effort estimation,"In most software development organizations, there is seldom a one-to-one mapping between software developers and development tasks. It is frequently necessary to concurrently assign individuals to multiple tasks and to assign more than one individual to work cooperatively on a single task. A principal goal in making such assignments should be to minimize the effort required to complete each task. But what impact does the manner in which developers are assigned to tasks have on the effort requirements? This paper identifies four task assignment factors: team size, concurrency, intensity, and fragmentation. These four factors are shown to improve the predictive ability of the well-known intermediate COCOMO cost estimation model. A parsimonious effort estimation model is also derived that utilizes a subset of the task assignment factors and unadjusted function points. For the data examined, this parsimonious model is shown to have goodness of fit and quality of estimation superior to that of the COCOMO model, while utilizing fewer cost factors.",,R. K. Smith; J. E. Hale; A. S. Parrish,2001,Journal,IEEE Transactions on Software Engineering,10.1109/32.910861,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=910861,"Math., Comput. & Inf. Sci. Dept., Jacksonville State Univ., AL, USA; NA; NA",IEEE,English,1939-3520,
IEEE,Survival analysis for the duration of software projects,"In the area of software engineering various methods have been proposed in order to predict the cost of a software project in terms of the effort or of the productivity. An important feature which is closely related to the cost is the duration of a software project. In this paper we deal with the problem of studying and modeling the distribution of the time from specification until delivery of a software product. Specifically, we investigate the use of a statistical methodology known from biostatistics as survival analysis. The purpose of such an analysis is to describe the distribution of the duration and also to identify important factors that affect it. The great advantage of survival analysis is that we can utilize information not only from the completed projects in a dataset but also from ongoing projects. The general principles of the methodology are described with examples from applications to known data sets",,P. Sentas; L. Angelis,2005,Conference,11th IEEE International Software Metrics Symposium (METRICS'05),10.1109/METRICS.2005.45,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1509283,"Dept. of Informatics, Aristotle Univ. of Thesaloniki, Greece; Dept. of Informatics, Aristotle Univ. of Thesaloniki, Greece",IEEE,English,1530-1435,0-7695-2371-4
IEEE,A proposal for the improvement of project's cost predictability using EVM and historical data of cost,"This paper proposes an extension of the Earned Value Management - EVM technique through the integration of historical cost performance data of processes under statistical control as a means to improve the predictability of the cost of projects. The proposed technique was evaluated through a case-study in industry, which evaluated the implementation of the proposed technique in 22 software development projects Hypotheses tests with 95% significance level were performed, and the proposed technique was more accurate and more precise than the traditional technique for calculating the Cost Performance Index - CPI and Estimates at Completion - EAC.",Cost Performance Index — CPI;Software Metrics;Earned Value Management — EVM;High Maturity,A. Diniz de Souza,2013,Conference,2013 35th International Conference on Software Engineering (ICSE),10.1109/ICSE.2013.6606740,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6606740,"Universidade Federal do Rio de Janeiro - UFRJ / COPPE, Rio de Janeiro, Brasil",IEEE,English,1558-1225,978-1-4673-3076-3
IEEE,Are CMM Program Investments Beneficial? Analyzing Past Studies,"CMM experts strongly believe that investments in programs promoting an organization's CMM maturity yield substantial organizational and economic benefits. In particular, they argue that CMM programs that implement software process improvements can provide more benefits",CMM;software development performance metrics;error density;productivity;rework;cycle time;schedule fidelity;error detection effectiveness;return on investment;ROI,D. Galin; M. Avrahami,2006,Magazine,IEEE Software,10.1109/MS.2006.149,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4012629,Ruppin Academic Center; Lipman Electronic Engineering,IEEE,English,1937-4194,
IEEE,The Measurement of Software Size based on Generation Model using COSMIC FSM,"The software size measurement plays essential roles in developing a software project to estimate costs, efforts and other resources. It provides the necessary input to estimate the effort at the early stage of the software development process. Thus, COSMIC FSM (Common Software Measurement International Consortium Functional Size Measurement) is one of the well-known methods of FSM which is suitable to estimate the size of software project at the early stage of development process. The industries use not only the standardized methods but also the well-defined modeling notations to measure the functional size of software. Some research has focused on the specific design notations to facilitate the design of the system. Therefore, this paper proposes a new model which is named as a generation model that can be accepted from various types of modeling notations and then these types converted into common general model for calculating the functional size of COSMIC concept. The generation model can help many researchers and estimators to understand the concepts of complex diagram notations easily. Then, the mapping rules define between the COSMIC FSM and generation model to measure the size of software. Finally, the function size results of the system are calculated by using COSMIC method.",Meta model;UML sequence diagram;SysML sequence diagram;Petri net;COSMIC Functional Size Measurement (FSM),T. Zaw; S. Z. Hlaing; M. Myint Lwin; K. Ochimizu,2019,Conference,2019 23rd International Computer Science and Engineering Conference (ICSEC),10.1109/ICSEC47112.2019.8974688,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8974688,"University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar; University of Information Technology,Yangon,Myanmar",IEEE,English,,978-1-7281-2544-2
IEEE,Function Point Analysis to knowledge representation of software size measurement,"In Function Point Analysis through the technique of case-based reasoning(CBR), use the expert system to measure the software size, is the new method of software measurement, the knowledge representation is the basis of this new method. In this paper, firstly, analyze the role of the function point analysis in the software measurement; then describe the knowledge representation method of Production Rules in detail; finally, propose the data model of the function point analysis for software size measurement, to analyze the Technical complexity factors and their weights of the model, then carry out knowledge representation on function point analysis. The results show that, the knowledge representation used in this paper, can simulate the human thinking process of problem solving, has features as Naturalness, modularity, efficiency, clarity, etc, on the application of Function Point Analysis to measure the size having good reference value.",,Y. Ren; T. Xing; Qiang Quan,2011,Conference,International Conference on Information Science and Technology,10.1109/ICIST.2011.5765224,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5765224,"College of Information Science and Technology, Bohai University, CO 121013 China; Key Laboratory of urban Operation and Management, Beijing Research Center of Urban Systems Engineering, CO 100089 China; Electronic & Information Engineering College, Liaoning Technology University, CO 121001 China",IEEE,English,2164-4357,978-1-4244-9442-2
IEEE,An approach to predict software maintenance cost based on ripple complexity,"Almost half of a software maintainer's time is spent trying to understand programs. This means that software maintenance cost prediction depends on software understandability. We have proposed ripple complexity as a means to predict program understandability. This paper describes an experiment to prove the usefulness of ripple complexity. The result of this experiment has shown that ripple complexity is more closely related to program understandability than lines of source code, cyclomatic complexity and function point analysis.<>",,T. Hirota; M. Tohki; C. M. Overstreet; M. Hashimoto; R. Cherinka,1994,Conference,Proceedings of 1st Asia-Pacific Software Engineering Conference,10.1109/APSEC.1994.465236,https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=465236,"Kyushu Inst. of Technol., Iizuka, Japan; NA; NA; NA; NA",IEEE,English,,0-8186-6960-8
