DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Affiliations,Publisher,Language,ISSN,ISBN
Inspec,Structural Observability Analysis of Large Scale Systems Using Modelica and Python,"State observability of dynamic systems is a notion which determines how well the states can be inferred from input-output data. For small-scale systems, observability analysis can be done manually, while for large-scale systems an automated systematic approach is advantageous. Here we present an approach based on the concept of structural observability analysis, using graph theory. This approach can be automated and applied to large-scale, complex dynamic systems modeled using Modelica. Modelica models are imported into Python via the JModelica.org-CasADi interface, and the Python packages NetworkX (for graph-theoretic analysis) and PyGraphviz (for graph layout and visualization) are used to analyze the structural observability of the systems. The method is demonstrated with a Modelica model created for the Copper production plant at Glencore Nikkelverk, Kristiansand, Norway. The Copper plant model has 39 states, 11 disturbances and 5 uncertain parameters. The possibility of estimating disturbances and parameters in addition to estimating the states are also discussed from the graph-theory point of view. All the software tools used on the analysis are freely available.",Modelica - Python - dynamic systems - input-output data - small-scale systems - automated systematic approach - structural observability analysis - graph theory - large-scale-complex dynamic systems - JModelica.org-CasADi interface - NetworkX Python package - PyGraphviz - graph layout - graph visualization - copper production plant - Glencore Nikkelverk - Kristiansand - Norway - state parameter estimation - disturbance parameter estimation - uncertain parameter estimation - software tools,"Perera, M.A.S.(1); Lie, B.(1); Pfeiffer, C.F.(1)",2015.0,Journal,"Modeling, Identification and Control",10.4173/mic.2015.1.4,"(1) Telemark Univ. Coll., Porsgrunn, Norway",Norwegian Society of Automatic Control,English,0332-7353,
Inspec,Python's PyQt toolkit,"One of the advantages of using Python is the variety of available GUI libraries. Currently, there are several GUI toolkits in active development, including Tkinter, PyQt/ PyKDE, wxPython, PyGTK/GnomePython, FXPy, PYFLTK, and Pythonwin. Each of these has its strengths and weaknesses. Indeed, as with C or C++, there is nearly always a GUI library perfectly suited to the project in hand. The article examines PyQt, one of the most advanced libraries, and focuses on the innovative signals-and-slots paradigm it offers Python developers.",PyQt toolkit - Python - GUI libraries - GUI toolkits - Tkinter - PyQt - PyKDE - wxPython - PyGTK/GnomePython - FXPy - PYFLTK - Pythonwin - GUI library - signals-and-slots paradigm - Python developers,"Rempt, B.(1)",2001.0,Journal,Dr. Dobb's Journal,,"(1) Tryllian, Netherlands",Miller Freeman,English,1044-789X,
Inspec,Iteration on the Horizon Simulation Framework to Include .NET and Python Scripting,"Modeling and Simulation Is a crucial element of the aerospace engineering design process because it allows designers to thoroughly test their solution before investing In the resources to create it. The Horizon Simulation Framework (HSF) v3.0 is an aerospace modeling and simulation tool that allows the user to verify system level requirements in the early phases of the design process. A low fidelity modal of the system that is created by the user is exhaustively tested within the built-in Day-in-the-Life simulator to provide useful information in the form of failed requirements, system bottle necks and leverage points, and potential schedules of operations. The model can be stood up quickly with Extended Markup Language (XML) input file or can be customly created with Python Scripts that interact with the framework at runtime. The goal of the work presented in this paper is to progress NSF from v2.3 to v3.0 in order to take advantage of current software development technologies and modern software architecting strategies. By updating the codebase from C++ and Lua to C# and Python, previously unreachable constructs became available and a new architecture was achieved. Tho details of the decisions, implementation and benefits of the now framework are discussed within the paper and may be useful to the reader who is designing or re-architecting a simulation framework. The new framework was also compared to the old framework for performance and accuracy and was found to perform similarly if not better in some cases.",Horizon Simulation Framework - iteration - .NET scripting - Python scripting - aerospace engineering design process - HSF v3.0 - aerospace modeling and simulation tool - system level requirement verification - built-in Day-in-the-Life simulator - system bottlenecks - leverage points - operation schedule - Extended Markup Language - XML input file - software development technology - software architecting strategy - codebase update - C++ language - C# language,"Yost, M.(1); Mehiel, E.A.(2)",2017.0,Conference,AIAA Modeling and Simulation Technologies Conference,,"(1) Lockheed Martin Space Systems Co., Littleton, CO, United States; (2) California Polytech. State Univ., San Luis Obispo, CA, United States",AIAA - American Institute of Aeronautics and Astronautics,English,,
Inspec,Programming Language Python for Data Processing,"Geographic information systems belong the group of applications that process spatial data. Some spatial analyses are operated repetitively in the same way for different area or district. Therefore it is useful when the data processing can be run automatically by program extension designed especially for batch data processing. ArcGIS software offers a possibility to design the steps of data processing by data flow diagram in the graphic editor ModelBuilder. In some cases the data flow diagram which is designed in ModelBuilder component is not sufficient for all require tasks. In such cases, it is possible to automatically convert data flow diagram into the Python language and supplement the program code with other program constructions and commands. Some practical examples are presented in this article. All Python scripts were developed as a part of several research projects at Department of Geinformatics at Palacky University in the Czech Republic. This article is a sum of experience with scripting in Python for ArcGIS geoprocessor.",Python programming language - geographic information systems - spatial data - program extension - batch data processing - ArcGIS software - data flow diagram - ModelBuilder graphic editor - program code - Python scripts - ArcGIS geoprocessor,"Dobesova, Z.(1)",2011.0,Conference,2011 International Conference on Electrical and Control Engineering,10.1109/ICECENG.2011.6057428,"(1) Dept. of Geoinf., Palacky Univ. in Olomouc, Olomouc, Czech Republic",IEEE,English,,
Inspec,QuTiP 2: A Python framework for the dynamics of open quantum systems,"We present version 2 of QuTiP, the Quantum Toolbox in Python. Compared to the preceding version [J.R. Johansson, P.D. Nation, F. Nori, Comput. Phys. Commun. 183 (2012) 1760.], we have introduced numerous new features, enhanced performance, and made changes in the Application Programming Interface (API) for improved functionality and consistency within the package, as well as increased compatibility with existing conventions used in other scientific software packages for Python. The most significant new features include efficient solvers for arbitrary time-dependent Hamiltonians and collapse operators, support for the Floquet formalism, and new solvers for Bloch-Redfield and Floquet-Markov master equations. Here we introduce these new features, demonstrate their use, and give a summary of the important backward-incompatible API changes introduced in this version.[All rights reserved Elsevier].",QuTiP 2 - Python framework - open quantum system dynamics - quantum toolbox - application programming interface - API - scientific software packages - arbitrary time-dependent Hamiltonians - collapse operators - Floquet formalism - Bloch-Redfield master equations - Floquet-Markov master equations,"Johansson, J.R.(1); Nation, P.D.(2); Nori, F.(1)",2013.0,Journal,Computer Physics Communications,10.1016/j.cpc.2012.11.019,"(1) Adv. Sci. Inst., RIKEN, Wako, Japan; (2) Dept. of Phys., Korea Univ., Seoul, Korea, Republic of",Elsevier Science B.V.,English,0010-4655,
Inspec,Nmrglue: an open source Python package for the analysis of multidimensional NMR data,"Nmrglue, an open source Python package for working with multidimensional NMR data, is described. When used in combination with other Python scientific libraries, nmrglue provides a highly flexible and robust environment for spectral processing, analysis and visualization and includes a number of common utilities such as linear prediction, peak picking and lineshape fitting. The package also enables existing NMR software programs to be readily tied together, currently facilitating the reading, writing and conversion of data stored in Bruker, Agilent/Varian, NMRPipe, Sparky, SIMPSON, and Rowland NMR Toolkit file formats. In addition to standard applications, the versatility offered by nmrglue makes the package particularly suitable for tasks that include manipulating raw spectrometer data files, automated quantitative analysis of multidimensional NMR spectra with irregular lineshapes such as those frequently encountered in the context of biomacromolecular solid-state NMR, and rapid implementation and development of unconventional data processing methods such as covariance NMR and other non-Fourier approaches. Detailed documentation, install files and source code for nmrglue are freely available at http://nmrglue.com. The source code can be redistributed and modified under the New BSD license.",Nmrglue - open source Python package - multidimensional NMR data analysis - Python scientific libraries - spectral processing - linear prediction - peak picking - line shape fitting - NMR software programs - Rowland NMR toolkit file formats - Bruker NMR toolkit file formats - Agilent-Varian NMR toolkit file formats - NMRPipe NMR toolkit file formats - Sparky NMR toolkit file formats - SIMPSON NMR toolkit file formats - raw spectrometer data file manipulation - biomacromolecular solid-state NMR - multidimensional NMR spectra - automated quantitative analysis - unconventional data processing methods - covariance NMR - nonFourier approaches - source code - new BSD license - data visualization,"Helmus, J.J.(1); Jaroniec, C.P.(1)",2013.0,Journal,Journal of Biomolecular NMR,10.1007/s10858-013-9718-x,"(1) Dept. of Chem. & Biochem., Ohio State Univ., Columbus, OH, United States",Springer Netherlands,English,0925-2738,
Inspec,Python and finite elements,"Many science and engineering problems can be reduced to the form of partial differential equations it (PDEs), among which elliptic equations play an important role. Problems that can be described by elliptic PDEs include the distribution of electric potential in a dielectric, the propagation of stationary waves, the incompressible flow around a wing, vibrations in a membrane, and the problem of heat conduction, to name just a few. In the article, I present a finite element (FE) package called ELLIPT2D designed to solve elliptic equations in two dimensions. While most FE programs are written in C or Fortran, ELLIPT2D is implemented in Python.",Python - interpreted language - science problems - engineering problems - partial differential equations - elliptic equations - ELLIPT2D,"Pletzer, A.(1)",2002.0,Journal,Dr. Dobb's Journal,,"(1) Plasma Phys. Lab., Princeton Univ., Princeton, NJ, United States",CMP Media LLC,English,1044-789X,
Inspec,How Do Developers Fix Cross-Project Correlated Bugs? A Case Study on the GitHub Scientific Python Ecosystem,"GitHub, a popular social-software-development platform, has fostered a variety of software ecosystems where projects depend on one another and practitioners interact with each other. Projects within an ecosystem often have complex inter-dependencies that impose new challenges in bug reporting and fixing. In this paper, we conduct an empirical study on cross-project correlated bugs, i.e., causally related bugs reported to different projects, focusing on two aspects: 1) how developers track the root causes across projects, and 2) how the downstream developers coordinate to deal with upstream bugs. Through manual inspection of bug reports collected from the scientific Python ecosystem and an online survey with developers, this study reveals the common practices of developers and the various factors in fixing cross-project bugs. These findings provide implications for future software bug analysis in the scope of ecosystem, as well as shed light on the requirements of issue trackers for such bugs.",cross-project correlated bugs - GitHub scientific Python ecosystem - upstream bugs - bug reports,Wanwangying Ma(1); Lin Chen(1); Xiangyu Zhang(2); Yuming Zhou(1); Baowen Xu(1),2017.0,Conference,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE). Proceedings,10.1109/ICSE.2017.42,"(1) State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; (2) Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, United States",IEEE Computer Society,English,,
Inspec,Climate analysis routines using Python,"Python is an interactive and powerful programming language which allows the fast development of applications. There exists a set of array-oriented extensions (Numerical Python) that allow numerical operations to be performed using C native code, with much better performance than the Python interpreter. Pyclimate, a set of subroutines built to be used in climate variability analysis is presented. They perform some of the most usual tasks during climate variability analysis. All of them are written using the numerical extensions to Python, with high numerical performance in mind. However, the simplicity of the original Python language remains in the programs built using these routines and other complementary packages. This simplicity allows easy data analysis of multivariate datasets from the interactive Python interpreter.",climate analysis routines - Python programming language - array-oriented extensions - Numerical Python - C native code - Pyclimate subroutines - climate variability analysis - multivariate datasets - interactive Python interpreter - data analysis,"Saenz, J.(1); Zubillaga, J.",2000.0,Conference,Development and Application of Computer Techniques to Environmental Studies VIII. Eighth International Conference. ENVIROSOFT 2000,,"(1) Dept. de Fis. Apl. II, Pais Vasco Univ., Bilbao, Spain",WIT Press,English,,1-85312-819-8
Inspec,And now for something completely different? [Python language],"The author discusses the obscurity of the Python language. Python has attracted some very serious interest in the way of interfaces and support libraries. It has come a long way from its roots as a scripting language for the Amoeba operating system. Python has SQL interfaces, CGI facilities, BSD-style sockets, interfaces to different GUI toolkits and APIs, and the ability to do client-server work with shared objects (ILU and CORBA).",Python language - software libraries - scripting language - Amoeba operating system - SQL interfaces - CGI facilities - BSD-style sockets - GUI toolkits - API - client-server system - shared objects - ILU - CORBA - graphical user interface,"Orlowski, A.",1997.0,Journal,EXE,,,Centaur Communications,English,0268-6872,
