DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Link,Affiliations,Publisher,Language,ISSN,ISBN
Scopus,Systematic literature reviews in software engineering - A systematic literature review,"Background: In 2004 the concept of evidence-based software engineering (EBSE) was introduced at the ICSE04 conference. Aims: This study assesses the impact of systematic literature reviews (SLRs) which are the recommended EBSE method for aggregating evidence. Method: We used the standard systematic literature review method employing a manual search of 10 journals and 4 conference proceedings. Results: Of 20 relevant studies, eight addressed research trends rather than technique evaluation. Seven SLRs addressed cost estimation. The quality of SLRs was fair with only three scoring less than 2 out of 4. Conclusions: Currently, the topic areas covered by SLRs are limited. European researchers, particularly those at the Simula Laboratory appear to be the leading exponents of systematic literature reviews. The series of cost estimation SLRs demonstrate the potential value of EBSE for synthesising evidence and making it available to practitioners. © 2008 Elsevier B.V. All rights reserved.",Cost estimation; Evidence-based software engineering; Systematic literature review; Systematic review quality; Tertiary study,"Kitchenham B., Pearl Brereton O., Budgen D., Turner M., Bailey J., Linkman S.",2009,Review,Information and Software Technology,10.1016/j.infsof.2008.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649086628&doi=10.1016%2fj.infsof.2008.09.009&partnerID=40&md5=209d0cdfec109a5c5af11592697dcbf2,"Software Engineering Group, School of Computer Science and Mathematics, Keele University, Keele Village, Keele, Staffs ST5 5BG, United Kingdom; Department of Computer Science, Durham University, Durham, United Kingdom",,English,09505849,
Scopus,An Empirical Validation of Software Cost Estimation Models,"Practitioners have expressed concern over their inability to accurately estimate costs associated with software development. This concern has become even more pressing as costs associated with development continue to increase. As a result, considerable research attention is now directed at gaining a better understanding of the software-development process as well as constructing and evaluating software cost estimating tools. This paper evaluates four of the most popular algorithmic models used to estimate software costs (SLIM, COCOMO, Function Points, and ESTIMACS). Data on 15 large completed business data-processing projects were collected and used to test the accuracy of the models’ ex post effort estimation. One important result was that Albrecht's Function Points effort estimation model was validated by the independent data provided in this study [3]. The models not developed in business data-processing environments showed significant need for calibration. As models of the software-development process, all of the models tested failed to sufficiently reflect the underlying factors affecting productivity. Further research will be required to develop understanding in this area. © 1987, ACM. All rights reserved.",COCOMO; ESTIMACS; Function Points; SLIM; SLOC,Kemerer C.F.,1987,Journal,Communications of the ACM,10.1145/22899.22906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023349750&doi=10.1145%2f22899.22906&partnerID=40&md5=7e225e5f39731c61d6157a96a4183be1,"Graduate School of Industrial Administration, Carnegie-Mellon University, Schenley Park, Pittsburgh, PA 15213, United States",,English,00010782,
Scopus,Guidelines for conducting systematic mapping studies in software engineering: An update,"Context Systematic mapping studies are used to structure a research area, while systematic reviews are focused on gathering and synthesizing evidence. The most recent guidelines for systematic mapping are from 2008. Since that time, many suggestions have been made of how to improve systematic literature reviews (SLRs). There is a need to evaluate how researchers conduct the process of systematic mapping and identify how the guidelines should be updated based on the lessons learned from the existing systematic maps and SLR guidelines. Objective To identify how the systematic mapping process is conducted (including search, study selection, analysis and presentation of data, etc.); to identify improvement potentials in conducting the systematic mapping process and updating the guidelines accordingly. Method We conducted a systematic mapping study of systematic maps, considering some practices of systematic review guidelines as well (in particular in relation to defining the search and to conduct a quality assessment). Results In a large number of studies multiple guidelines are used and combined, which leads to different ways in conducting mapping studies. The reason for combining guidelines was that they differed in the recommendations given. Conclusion The most frequently followed guidelines are not sufficient alone. Hence, there was a need to provide an update of how to conduct systematic mapping studies. New guidelines have been proposed consolidating existing findings. © 2015 Elsevier B.V.",Guidelines; Software engineering; Systematic mapping studies,"Petersen K., Vakkalanka S., Kuzniarz L.",2015,Conference,Information and Software Technology,10.1016/j.infsof.2015.03.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929464206&doi=10.1016%2fj.infsof.2015.03.007&partnerID=40&md5=f238ed2d4654adb16607b3e007b37292,"Department of Software Engineering, Blekinge Institute of Technology, Sweden",Elsevier,English,09505849,
Scopus,A systematic literature review on fault prediction performance in software engineering,"Background: The accurate prediction of where faults are likely to occur in code can help direct test effort, reduce costs, and improve the quality of software. Objective: We investigate how the context of models, the independent variables used, and the modeling techniques applied influence the performance of fault prediction models. Method: We used a systematic literature review to identify 208 fault prediction studies published from January 2000 to December 2010. We synthesize the quantitative and qualitative results of 36 studies which report sufficient contextual and methodological information according to the criteria we develop and apply. Results: The models that perform well tend to be based on simple modeling techniques such as Naive Bayes or Logistic Regression. Combinations of independent variables have been used by models that perform well. Feature selection has been applied to these combinations when models are performing particularly well. Conclusion: The methodology used to build models seems to be influential to predictive performance. Although there are a set of fault prediction studies in which confidence is possible, more studies are needed that use a reliable methodology and which report their context, methodology, and performance comprehensively. © 2012 IEEE.",software fault prediction; Systematic literature review,"Hall T., Beecham S., Bowes D., Gray D., Counsell S.",2012,Review,IEEE Transactions on Software Engineering,10.1109/TSE.2011.103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870561393&doi=10.1109%2fTSE.2011.103&partnerID=40&md5=31c5c83d993f4e293a6e46b487c88f08,"Department of Information Systems and Computing, Brunel University, Uxbridge, Middlesex UB8 3PH, United Kingdom; Lero, Irish Software Engineering Research Centre, University of Limerick, Limerick, Ireland; Science and Technology Research Institute, University of Hertfordshire, Hatfield, Hertfordshire AL10 9AB, United Kingdom",,English,00985589,
Scopus,Cross-project defect prediction: A large scale experiment on data vs. domain vs. process,"Prediction of software defects works well within projects as long as there is a sufficient amount of data available to train any models. However, this is rarely the case for new software projects and for many companies. So far, only a few have studies focused on transferring prediction models from one project to another. In this paper, we study cross-project defect prediction models on a large scale. For 12 real-world applications, we ran 622 cross-project predictions. Our results indicate that cross-project prediction is a serious challenge, i.e., simply using models from projects in the same domain or with the same process does not lead to accurate predictions. To help software engineers choose models wisely, we identified factors that do influence the success of cross-project predictions. We also derived decision trees that can provide early estimates for precision, recall, and accuracy before a prediction is attempted. Copyright 2009 ACM.",Churn; Cross-project; Decision trees; Defect prediction; Logistic regression; Prediction quality,"Zimmermann T., Nagappan N., Gall H., Giger E., Murphy B.",2009,Conference,ESEC-FSE'09 - Proceedings of the Joint 12th European Software Engineering Conference and 17th ACM SIGSOFT Symposium on the Foundations of Software Engineering,10.1145/1595696.1595713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949378886&doi=10.1145%2f1595696.1595713&partnerID=40&md5=d601a429fb8a9aa3050d932a4a4ebf32,"Microsoft Research, India; University of Zurich, Switzerland",,English,,9781605580012
Scopus,Usability measurement and metrics: A consolidated model,"Usability is increasingly recognized as an important quality factor for interactive software systems, including traditional GUIs-style applications, Web sites, and the large variety of mobile and PDA interactive services. Unusable user interfaces are probably the single largest reasons why encompassing interactive systems - computers plus people, fail in actual use. The design of this diversity of applications so that they actually achieve their intended purposes in term of ease of use is not an easy task. Although there are many individual methods for evaluating usability; they are not well integrated into a single conceptual framework that facilitate their usage by developers who are not trained in the filed of HCI. This is true in part because there are now several different standards (e.g., ISO 9241, ISO/IEC 9126, IEEE Std.610.12) or conceptual models (e.g., Metrics for Usability Standards in Computing [MUSiC]) for usability, and not all of these standards or models describe the same operational definitions and measures. This paper first reviews existing usability standards and models while highlighted the limitations and complementarities of the various standards. It then explains how these various models can be unified into a single consolidated, hierarchical model of usability measurement. This consolidated model is called Quality in Use Integrated Measurement (QUIM). Included in the QUIM model are 10 factors each of which corresponds to a specific facet of usability that is identified in an existing standard or model. These 10 factors are decomposed into a total of 26 sub-factors or measurable criteria that are furtherdecomposed into 127 specific metrics. The paper explains also how a consolidated model, such as QUIM, can help in developing a usability measurement theory. © Springer Science + Business Media, Inc. 2006.",Effectiveness; Efficiency; Measurement; Metrics; Software engineering quality models; Usability; User satisfaction,"Seffah A., Donyaee M., Kline R.B., Padda H.K.",2006,Journal,Software Quality Journal,10.1007/s11219-006-7600-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746864055&doi=10.1007%2fs11219-006-7600-8&partnerID=40&md5=da0ec35cfd5b83d79addb20c626f3c94,"Human-Centered Software Engineering Group, Department of Computer Science and Software Engineering, Concordia University, 1455 De Maisonneuve Blvd. West, Montreu, Que. H3G 1M8, Canada; Department of Psychology (PY 151-6), Concordia University, 7141 Sherbrooke St. West, Montreal, Que. H4B 1R6, Canada",Kluwer Academic Publishers,English,09639314,
Scopus,Systematic literature reviews in software engineering-A tertiary study,"Context: In a previous study, we reported on a systematic literature review (SLR), based on a manual search of 13 journals and conferences undertaken in the period 1st January 2004 to 30th June 2007. Objective: The aim of this on-going research is to provide an annotated catalogue of SLRs available to software engineering researchers and practitioners. This study updates our previous study using a broad automated search. Method: We performed a broad automated search to find SLRs published in the time period 1st January 2004 to 30th June 2008. We contrast the number, quality and source of these SLRs with SLRs found in the original study. Results: Our broad search found an additional 35 SLRs corresponding to 33 unique studies. Of these papers, 17 appeared relevant to the undergraduate educational curriculum and 12 appeared of possible interest to practitioners. The number of SLRs being published is increasing. The quality of papers in conferences and workshops has improved as more researchers use SLR guidelines. Conclusion: SLRs appear to have gone past the stage of being used solely by innovators but cannot yet be considered a main stream software engineering research methodology. They are addressing a wide range of topics but still have limitations, such as often failing to assess primary study quality. © 2010 Elsevier B.V. All rights reserved.",Mapping study; Software engineering; Systematic literature review; Tertiary study,"Kitchenham B., Pretorius R., Budgen D., Brereton O.P., Turner M., Niazi M., Linkman S.",2010,Review,Information and Software Technology,10.1016/j.infsof.2010.03.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953727654&doi=10.1016%2fj.infsof.2010.03.006&partnerID=40&md5=9241ef400781a747a7b9fe611aee14af,"School of Computing and Mathematics, Keele University, Staffordshire ST5 5BG, United Kingdom; School of Engineering and Computing Sciences, Durham University, Durham DH1 3LE, United Kingdom",Elsevier B.V.,English,09505849,
Scopus,Software development cost estimation approaches - A survey,"This paper summarizes several classes of software cost estimation models and techniques: parametric models, expertise-based techniques, learning-oriented techniques, dynamics-based models, regression-based models, and composite-Bayesian techniques for integrating expertise-based and regression-based models. Experience to date indicates that neural-net and dynamics-based techniques are less mature than the other classes of techniques, but that all classes of techniques are challenged by the rapid pace of change in software technology. The primary conclusion is that no single technique is best for all situations, and that a careful comparison of the results of several approaches is most likely to produce realistic estimates.",,"Boehm B., Abts C., Chulani S.",2000,Journal,Annals of Software Engineering,10.1023/A:1018991717352,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034557951&doi=10.1023%2fA%3a1018991717352&partnerID=40&md5=ef09727f773b1ecf0882fc3e61ac3dfc,"University of Southern California, Los Angeles, CA 90089-0781, United States; IBM Research, 650 Harry Road, San Jose, CA 95120, United States",,English,10227091,
Scopus,Does the technology acceptance model predict actual use? A systematic literature review,"Context: The technology acceptance model (TAM) was proposed in 1989 as a means of predicting technology usage. However, it is usually validated by using a measure of behavioural intention to use (BI) rather than actual usage. Objective: This review examines the evidence that the TAM predicts actual usage using both subjective and objective measures of actual usage. Method: We performed a systematic literature review based on a search of six digital libraries, along with vote-counting meta-analysis to analyse the overall results. Results: The search identified 79 relevant empirical studies in 73 articles. The results show that BI is likely to be correlated with actual usage. However, the TAM variables perceived ease of use (PEU) and perceived usefulness (PU) are less likely to be correlated with actual usage. Conclusion: Care should be taken using the TAM outside the context in which it has been validated. © 2009 Elsevier B.V. All rights reserved.",Actual usage; Evidence-based software engineering; Literature review; Systematic literature review; Technology acceptance model (TAM),"Turner M., Kitchenham B., Brereton P., Charters S., Budgen D.",2010,Review,Information and Software Technology,10.1016/j.infsof.2009.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949489154&doi=10.1016%2fj.infsof.2009.11.005&partnerID=40&md5=ccb98f09b9b7d5b81a21844f0c23158b,"School of Computing and Mathematics, Keele University, Keele, Staffordshire ST55BG, United Kingdom; Department of Applied Computing, Lincoln University, PO Box 84, Lincoln 7647, Canterbury, New Zealand; School of Engineering and Computing Sciences, Durham University, Science Laboratories, South Road, Durham City, DH1 3LE, United Kingdom",,English,09505849,
Scopus,On the relative value of cross-company and within-company data for defect prediction,"We propose a practical defect prediction approach for companies that do not track defect related data. Specifically, we investigate the applicability of cross-company (CC) data for building localized defect predictors using static code features. Firstly, we analyze the conditions, where CC data can be used as is. These conditions turn out to be quite few. Then we apply principles of analogy-based learning (i.e. nearest neighbor (NN) filtering) to CC data, in order to fine tune these models for localization. We compare the performance of these models with that of defect predictors learned from within-company (WC) data. As expected, we observe that defect predictors learned from WC data outperform the ones learned from CC data. However, our analyses also yield defect predictors learned from NN-filtered CC data, with performance close to, but still not better than, WC data. Therefore, we perform a final analysis for determining the minimum number of local defect reports in order to learn WC defect predictors. We demonstrate in this paper that the minimum number of data samples required to build effective defect predictors can be quite small and can be collected quickly within a few months. Hence, for companies with no local defect data, we recommend a two-phase approach that allows them to employ the defect prediction process instantaneously. In phase one, companies should use NN-filtered CC data to initiate the defect prediction process and simultaneously start collecting WC (local) data. Once enough WC data is collected (i.e. after a few months), organizations should switch to phase two and use predictors learned from WC data. © 2008 Springer Science+Business Media, LLC.",Cross-company; Defect prediction; Learning; Metrics (product metrics); Nearest-neighbor filtering; Within-company,"Turhan B., Menzies T., Bener A.B., Di Stefano J.",2009,Journal,Empirical Software Engineering,10.1007/s10664-008-9103-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449126753&doi=10.1007%2fs10664-008-9103-7&partnerID=40&md5=81f9ed3f267876613ba3edbe3b4020a4,"Department of Computer Engineering, Bogazici University, Istanbul, Turkey; Lane Department of Computer Science and Electrical Engineering, Morgantown, WV, United States",,English,13823256,
