DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Affiliations,Publisher,Language,ISSN,ISBN
WoS,Combination of photoactive hypericin and Manumycin A exerts multiple anticancer effects on oxaliplatin-resistant colorectal cells,"The use of natural products as chemotherapeutic agents and tools for manipulation of apoptosis represent an attractive therapeutic concept. In this study, we investigated the anticancer activities of a combination of two natural compounds with different origin, hypericin (plant product) in its photoactive state and Manumycin A (yeast product) and explored the underlying mechanisms of their pro-apoptotic action using an oxaliplatin-resistant variant of human colon adenocarcinoma cell line HT-29-OxR as the experimental model. CCK-8 assay was performed to evaluate the cytotoxicity of the drugs. CalcuSyn software was used to identify the type of interaction between the two agents. BrdU incorporation assay and colony forming assay were performed to study the short- and long-term proliferation of cells. To evaluate the ability of the drug combination to induce apoptosis, PARP p85 fragment was detected using the ELISA method. Changes in apoptosis-related proteins were examined by immunoassays. Our results showed that a synergistic combination of photoactive hypericin and Manumycin A decreased viability, inhibited both short- and long-term cell proliferation, decreased levels of IAPs proteins (cIAP1, cIAP2, XIAP and survivin), induced an apoptotic PARP cleavage associated with decline in procaspase-3 level, promoted phagocytosis of cancer cells, and restored chemosensitivity to oxaliplatin.",Chemoresistance; Oxaliplatin; Colorectal cancer; Natural products; Apoptosis; Chemosensitization,"Macejova, M; Sackova, V; Hradicka, P; Jendzelovsky, R; Demeckova, V; Fedorocko, P",2020.0,Journal,TOXICOLOGY IN VITRO,10.1016/j.tiv.2020.104860,"[Macejova, Maria; Sackova, Veronika; Jendzelovsky, Rastislav; Fedorocko, Peter] Pavol Jozef Safarik Univ Kosice, Fac Sci, Inst Biol & Ecol, Dept Cellular Biol, Srobarova 2, Kosice 04154, Slovakia; [Hradicka, Petra; Demeckova, Vlasta] Pavol Jozef Safarik Univ Kosice, Fac Sci, Inst Biol & Ecol, Dept Anim Physiol, Srobarova 2, Kosice 04154, Slovakia",PERGAMON-ELSEVIER SCIENCE LTD,English,0887-2333,
WoS,Comprehensive analysis and manufacture of recycled aluminum based hybrid metal matrix composites through the combined method; sintering and sintering plus forging,"Recycled AA7075 aluminum alloy and pure electrolytic copper were used as the matrix to manufacture new aluminum-copper metal matrix composites (ACMMCs). Powder metallurgy methods were used and the green compacts were finalized by sintering only and sinter thorn forging. Experimental and numerical investigation of recycled hybrid metal matrix composites manufactured by the two methods was performed. Al-Cu matrix combined with the reinforcements ZnO, Nb2Al and SiC. Two basic formulations were used where the contents Nb2Al and SiC was kept constant and the content of ZnO were 15 wt% and 30 wt%, respectively. The effects of these reinforcements used in the hybrid metal matrix composite structure on the mechanical and physical properties were investigated. The Nb2Al, SiC ratios used in the structure (chemical interaction in the internal structure, the effects on static-dynamic compression and wear behaviors) were kept constant, in particular the ZnO component (interactions with other components and their effects on electrical properties) were investigated. Micro-hardness analyses, surface scratch tests, quasi-static and dynamic compression tests were conducted. Also, electrical conductivity of the composites were determined. The effect of the composite's formulations and production method on the results were investigated. It was found when ZnO content was reduced the yield stress and ultimate strength values increased, but their resistance to impact loading reduced. Also, sinter thorn forged samples exhibited higher yield stress and ultimate strength than the just sintered samples. The damage and microstructural analyses were performed by Scanning Electron Microscope (SEM). Moreover, a non-linear numerical model was utilized to simulate quasi-static compression and dynamic compression (low velocity impact) behaviors of the composites for both formulations and manufacturing methods. Finite element simulations were performed using the ABAQUS T/Explicit dynamic finite element software. It was determined that there was a satisfactory agreement between experimental and finite element model results.",Aluminum copper metal matrix composites (ACMMCs); Sintered-forging; Low velocity impact; Compression behaviour; Finite element method (FEM); SEM Analysis,"Enginsoy, HM; Bayraktar, E; Katundi, D; Gatamorta, F; Miskioglu, I",2020.0,Journal,COMPOSITES PART B-ENGINEERING,10.1016/j.compositesb.2020.108040,"[Enginsoy, H. M.; Bayraktar, E.; Katundi, D.] Supmeca Paris, Mech & Mfg Engn Sch, St Ouen, France; [Enginsoy, H. M.] Usak Univ, Dept Mech Engn, Usak, Turkey; [Bayraktar, E.; Gatamorta, F.] Univ Estadual Campinas, UNICAMP, FEM Dept Mat, Campinas, SP, Brazil; [Miskioglu, I] Michigan Technol Univ, ME ME Dept, Houghton, MI 49931 USA",ELSEVIER SCI LTD,English,1359-8368,
WoS,High performance solution of skew-symmetric eigenvalue problems with applications in solving the Bethe-Salpeter eigenvalue problem,"We present a high-performance solver for dense skew-symmetric matrix eigenvalue problems. Our work is motivated by applications in computational quantum physics, where one solution approach to solve the Bethe-Salpeter equation involves the solution of a large, dense, skew-symmetric eigenvalue problem. The computed eigenpairs can be used to compute the optical absorption spectrum of molecules and crystalline systems. One state-of-the art high-performance solver package for symmetric matrices is the ELPA (Eigenvalue SoLvers for Petascale Applications) library. We exploit a link between tridiagonal skew-symmetric and symmetric matrices in order to extend the methods available in ELPA to skew-symmetric matrices. This way, the presented solution method can benefit from the optimizations available in ELPA that make it a well-established, efficient and scalable library. The solution strategy is to reduce a matrix to tridiagonal form, solve the tridiagonal eigenvalue problem and perform a back-transformation for eigenvectors of interest. ELPA employs a one-step or a two-step approach for the tridiagonalization of symmetric matrices. We adapt these to suit the skew-symmetric case. The two-step approach is generally faster as memory locality is exploited better. If all eigenvectors are required, the performance improvement is counteracted by the additional back transformation step. We exploit the symmetry in the spectrum of skew-symmetric matrices, such that only half of the eigenpairs need to be computed, making the two-step approach the favorable method. We compare performance and scalability of our method to the only available high-performance approach for skew-symmetric matrices, an indirect route involving complex arithmetic. In total, we achieve a performance that is up to 3.67 times higher than the reference method using Intel's ScaLAPACK implementation. Our method is freely available in the current release of the ELPA library. (C) 2020 Elsevier B.V. All rights reserved.",Distributed memory; Skew-symmetry; Eigenvalue and eigenvector computations; GPU Acceleration; Bethe-Salpeter; Many-body perturbation theory,"Penke, C; Marek, A; Vorwerk, C; Draxl, C; Benner, P",2020.0,Journal,PARALLEL COMPUTING,10.1016/j.parco.2020.102639,"[Penke, Carolin; Benner, Peter] Max Planck Inst Dynam Complex Tech Syst, Computat Methods Syst & Control Theory, Magdeburg, Germany; [Marek, Andreas] Max Planck Comp & Data Facil, Garching, Germany; [Vorwerk, Christian; Draxl, Claudia] Humboldt Univ, Inst Phys, Berlin, Germany; [Vorwerk, Christian; Draxl, Claudia] Humboldt Univ, IRIS Adlershof, Berlin, Germany",ELSEVIER,English,0167-8191,
WoS,Risk management in the software life cycle: A systematic literature review,"Risk management (RM) plays a key role in project management, as it allows identification and prompt management of threats that may arise during project execution. Furthermore, project management within the software industry is evolving rapidly nowadays, a fact that implies new challenges, because the emergence and use of fresh approaches has brought a greater degree of complexity to the RM process. The objective of this paper is to carry out a systematic literature review (SLR) in the field of software risk, in an attempt to characterize and present the state of the art of this field, identifying gaps and opportunities for further research. From the analysis of the results of this SLR it could be observed that interest on the part of the scientific community has turned away from the definition of research work that addressed an integrated risk management process, to pay attention to work that concentrates on specific activities of this process. It was also possible to see that there is a clear lack of scientific rigour as regards the process of validation in the different studies, and a deficiency in the use of standards or of de facto models to define these.",Software risk; Risk management activities; ISO 31000; Software life cycle processes; ISO 12207; Systematic literature review,"Masso, J; Pino, FJ; Pardo, C; Garcia, F; Piattini, M",2020.0,Review,COMPUTER STANDARDS & INTERFACES,10.1016/j.csi.2020.103431,"[Masso, Jhon; Garcia, Felix; Piattini, Mario] Univ Castilla La Mancha, Alarcos Res Grp, Inst Technol & Informat Syst, Paseo Univ 4, Ciudad Real 13071, Spain; [Masso, Jhon; Pardo, Cesar] Univ Cauca, Elect & Telecommun Engn Fac, GTI Res Grp, Calle 5 4-70, Popayan 190002, Colombia; [Pino, Francisco J.] Univ Cauca, Elect & Telecommun Engn Fac, IDIS Res Grp, Calle 5 4-70, Popayan 190002, Colombia",ELSEVIER,English,0920-5489,
WoS,Inclusion of Functional and Non-Functional Parameters for the Prediction of Overall Efforts of Mobile Applications,"Size is a major and main parameter for the estimation of efforts and cost of software applications in general and mobile applications in particular and estimating effort, cost and time has been a key step in the life cycle of the software project. In order to create a sound schedule for the project, it is therefore important to have these estimates as soon as possible in the software development life cycle. In past years, many methods have been employed to estimate size and efforts of mobile applications but till now these methods do not meet the expected needs from customer. In this paper, we present a new size measurement method i.e., Mobile COSMIC Function Points (MCFP) based on the COSMIC approach, which is a primary factor for estimation of efforts in mobile application development. This paper analyzes the possibility of using a combination of Functional and Nonfunctional parameters including both Mobile Technical Complexity Factors (MTCF) and Mobile Environmental Complexity Factors (MECF) for the purpose of mobile application sizing prediction and hence effort estimation. For the purpose of this study, thirty six mobile applications were analyzed and their size and efforts were compared by applying the new effort estimation approach. In this context of a mobile application, few investigations have been performed to compare the effectiveness of COSMIC, FP's and the proposed approach COSMIC Plus Effort Estimation Model (CPEEM). The main goal of this paper is to investigate if the inclusion of Non functional parameters imposes an effect on the functional size of mobile application development. Upon estimating efforts using the proposed approach, the results were promising for mobile applications when compared the results of our approach with the results of the other two approaches",Mobile size measures; Functional size; Functional parameters; Non-functional parameters; Mobile technical complexity factors; Mobile environmental complexity factors,"Mushtaq, Z; Wahid, A",2020.0,Journal,COMPUTER STANDARDS & INTERFACES,10.1016/j.csi.2019.103404,"[Mushtaq, Ziema] Maulana Azad Natl Urdu Univ, Hyderabad, Telangana, India; [Wahid, Abdul] Maulana Azad Natl Urdu Univ, Sch Technol, Hyderabad, Telangana, India",ELSEVIER,English,0920-5489,
WoS,Factory Communications at the Dawn of the Fourth Industrial Revolution,"The fourth industrial revolution (Industry 4.0) and its requirements impose radical changes to the underlying networking technologies that will be adopted in future factories. Most popular solutions in use today, in fact, are suitable for Industry 4.0 only in part, and new techniques and devices have to be developed to cope with demanding needs in terms of flexibility, communication bandwidth, real-time behavior, mobility, scalability, energy efficiency, reliability, availability and security. The goal of this paper is assessing the current situation of factory communication systems in the light of their evolution to support Industry 4.0 applications. The paper provides an overview of fundamental concepts in factory communication systems focusing, in particular, on prevalent wireless and wirebound communication protocols and standards. Research challenges in next generation industrial networks are also taken into account.",Factory communication systems (FCS); Industrial ethernet; Industrial wireless communications; Distributed synchronization; Localization; Cybersecurity; Industry 4.0; Industrial Internet of Things (IIoT); Smart factory; Software-defined networking (SDN),"Zunino, C; Valenzano, A; Obermaisser, R; Petersen, S",2020.0,Review,COMPUTER STANDARDS & INTERFACES,10.1016/j.csi.2020.103433,"[Zunino, Claudio; Valenzano, Adriano] CNR IEIIT, Cso Duca Abruzzi 24, Rome, Italy; [Obermaisser, Roman] Univ Siegen, Siegen, Germany; [Petersen, Stig] SINTEF Digital, Trondheim, Norway",ELSEVIER,English,0920-5489,
WoS,High cycle fatigue behavior and numerical evaluation of Alloy 690TT steam generator tube,"High cycle fatigue behavior of Alloy 690TT steam generator (SG) tube under different maximum stresses was investigated at stress ratio R = 0.1 through experimental and numerical evaluation. The morphology of fatigue fracture surface was observed by SEM, and the crack initiation and propagation mechanism of Alloy 690TT SG tube was analyzed. The fatigue crack of Alloy 690TT SG tube initiated at the intrados surface edge, then propagated along the direction of maximum shear stress and penetrated through the side of the specimen, and finally transient fracture occurred in the direction perpendicular to the loading axis. With the increase of maximum stress, the number of fatigue crack initiation sources increased, but they were all distributed on the edge of the intrados surface, and a large number of persistent slip bands (PSBs) were formed on the intrados surface. The fracture mechanism of the tubular specimen was different from that of the bar specimen, and its fracture mode affected the life evaluation of the tubular specimen. The finite element analysis software ABAQUS and advanced fatigue durability analysis software FE-SAFE were first used to evaluate the fatigue life of Alloy 690TT SG tube. Compared with the experimental results, the error in predicting fatigue life by numerical method was acceptable.",High cycle fatigue; Alloy 690TT; Numerical evaluation; Fatigue life; Tubular specimen,"Li, ZH; Wang, XY; Wang, JP; Lu, YH; Shoji, T",2020.0,Journal,INTERNATIONAL JOURNAL OF FATIGUE,10.1016/j.ijfatigue.2020.105662,"[Li, Zhenhua; Wang, Xinyu; Lu, Yonghao; Shoji, Tetsuo] Univ Sci & Technol Beijing, Natl Ctr Mat Serv Safety, Beijing 100083, Peoples R China; [Wang, Junping] Beijing Univ Civil Engn & Architecture, Sch Sci, Beijing 102616, Peoples R China",ELSEVIER SCI LTD,English,0142-1123,
WoS,An experimental and practical study on the equivalent mutant connection: An evolutionary approach,"Context: Mutation testing is considered to be a powerful approach to assess and improve the quality of test suites. However, this technique is expensive mainly because some mutants are semantically equivalent to the original program; in general, equivalent mutants require manual revision to differentiate them from useful ones, which is known as the Equivalent Mutant Problem (EMP). Objective: In the past, several authors have proposed different techniques to individually identify certain equivalent mutants, with notable advances in the last years. In our work, by contrast, we address the EMP from a global perspective. Namely, we wonder the extent to which equivalent mutants are connected (i.e., whether they share mutation operators and code areas) as well as the extent to which the knowledge of that connection can benefit the mutant selection process. Such a study could allow going beyond the implicit limit in the traditional individual detection of equivalent mutants. Method: We use an evolutionary algorithm to select the mutants, an approach called Evolutionary Mutation Testing (EMT). We propose a new derived version, Equivalence-Aware EMT (EA-EMT), which penalizes the fitness of known equivalent mutants so that they do not transfer their features to the next generations of mutants. Results: In our experiments applying EMT to well-known C++ programs, we found that (i) equivalent mutants often originate from other equivalent mutants (over 60% on average); (H) EA-EMT's approach of penalizing known equivalent mutants provides better results than the original EMT in most of the cases (notably, the more equivalent mutants are detected, the better); and (Hi) we can combine EA-EMT with Trivial Compiler Equivalence as a way to automatically identify equivalent mutants in a real situation, reaching a more stable version of EMT. Conclusions: This novel approach opens the way for improvement in other related areas that deal with equivalent versions.",Mutation testing; Equivalent mutant problem; Search-based software engineering; Evolutionary algorithm,"Delgado-Perez, P; Chicano, F",2020.0,Journal,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2020.106317,"[Delgado-Perez, Pedro] Univ Cadiz, Escuela Super Ingn, Cadiz, Spain; [Chicano, Francisco] Univ Malaga, Escuela Tecn Super Ingn Informat, Malaga, Spain",ELSEVIER,English,0950-5849,
WoS,Software product line applied to the internet of things: A systematic literature review,"Context: Internet of Things (IoT) is a promising paradigm due to the growing number of devices that may be connected, defined as things. Managing these things is still considered a challenge. One way to overcome this challenge may be by adopting the software product line (SPL) paradigm and the variability management (VM) activity. SPL engineering consists of mechanisms that provide identification, representation, and traceability, which may be helpful to things management supported by VM organizational and technical activities. Objective: This research aims to investigate how SPL engineering has been applied along with the IoT paradigm, as well as how VM is being carried out. Method: A systematic literature review (SLR) was conducted considering papers available until March 2019. This systematic review identified 1039 papers. After eliminating the duplicated titles and the ones not related to the review, 112 papers remained. The number of papers was narrowed to 56 after applying the exclusion criteria. Results: The results provide evidence on the diversity of proposed SPLs used to specify approaches for managing IoT systems. However, most SPLs and research developed for IoT lack a systematic and detailed specification to ensure their quality, as well as tailoring guidelines for further use.",Internet of things; Software product line; Variability management; Product family engineering; Families of systems,"Geraldi, RT; Reinehr, S; Malucelli, A",2020.0,Review,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2020.106293,"[Geraldi, Ricardo Theis; Reinehr, Sheila; Malucelli, Andreia] Pontificia Univ Catolica Parana PUCPR, Grad Program Comp Sci PPGIa, Curitiba, Parana, Brazil",ELSEVIER,English,0950-5849,
WoS,LTRWES: A new framework for security bug report detection,"Context: Security bug reports (SBRs) usually contain security-related vulnerabilities in software products, which could be exploited by malicious attackers. Hence, it is important to identify SBRs quickly and accurately among bug reports (BRs) that have been disclosed in bug tracking systems. Although a few methods have been already proposed for the detection of SBRs, challenging issues still remain due to noisy samples, class imbalance and data scarcity. Object: This motivates us to reveal the potential challenges faced by the state-of-the-art SBRs prediction methods from the viewpoint of data filtering and representation. Furthermore, the purpose of this paper is also to provide a general framework and new solutions to solve these problems. Method: In this study, we propose a novel approach LTRWES that incorporates learning to rank and word embedding into the identification of SBRs. Unlike previous keyword-based approaches, LTRWES is a content-based data filtering and representation framework that has several desirable properties not shared in other methods. Firstly, it exploits ranking model to efficiently filter non-security bug reports (NSBRs) that have higher content similarity with respect to SBRs. Secondly, it applies word embedding technology to transform the rest of NSBRs, together with SBRs, into low-dimensional real-value vectors. Result: Experiment results on benchmark and large real-world datasets show that our proposed method outperforms the state-of-the-art method. Conclusion: Overall, the LTRWES is valid with high performance. It will help security engineers to identify SBRs from thousands of NSBRs more accurately than existing algorithms. Therefore, this will positively encourage the research and development of the content-based methods for security bug report detection.",Security bug report; Content-based filtering; Word embedding; Machine learning,"Jiang, Y; Lu, PC; Su, XH; Wang, TT",2020.0,Journal,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2020.106314,"[Jiang, Yuan; Lu, Pengcheng; Su, Xiaohong; Wang, Tiantian] Harbin Inst Technol, Sch Comp Sci & Technol, Harbin, Heilongjiang, Peoples R China",ELSEVIER,English,0950-5849,
